occupation,correction
Irish Lace Maker,Irish Lace Maker
Ladies Maid Domestic Servant,Lady's Maid
Linen Cambric Weaver,Linen Cambric Weaver
Master Cooper,Master Cooper
Pensioner R. I. C.,Police Pensioner
Schalor,Scholar
Servt,General Domestic Servant
Shirt Examiner,Shirt Examiner
Shool,Scholar
Solicitor's Apprentice,Apprentice Solicitor
Spinner in a Spinning Mill,a Spinning Mill Spinner
Stable Groom,Stable Groom
Sub Post Mistress,Sub Postmistress
Undergraduate R.U.I.,Undergraduate
Woolen Factory Hand,Woolen Factory Hand
Yard Boy,Yard Boy
Agricultural Labr.,Agricultural Labourer
Apprentice to Drapery,Apprentice Draper
Captain,Captain
Clerkess,Clerk
Coal Labour,Coal Labourer
Creamery Assistant,Creamery Assistant
Cycle Maker,Cycle Maker
Drawer in Mill,Mill Drawer
Ex Soldier,Ex Soldier
Farmers Sister in Law,Farmer's Sister in Law
General Carrier,General Carrier
Grocer and Wine Merchant,Grocer and Wine Merchant
Income From Dividends,49
Laundry Woman,Laundress
Magistrate Farmer,Magistrate and Farmer
Miliner,Milliner
Nursing,Nurse
Publican and Shop Keeper,Publican and Shopkeeper
Railway Gateman,Railway Gatekeeper
Retired Carpenter,Retired Carpenter
Sadler,Saddler
Scholl,Scholar
Seanstress,Seamstress
Serveant,General Domestic Servant
Solicitor's Managing Clerk,Solicitor's Managing Clerk
Stone Carver,Stone Carver
Waiter Hotel,Hotel Waiter
Yarn Spinner in Mill,Mill Yarn Spinner
Art Student,Art Student
Cabnet Maker,Cabinetmaker
Chef,Chef
Coal Carter,Coal Carter
Commercial Agent,Commercial Agent
Domestic General,General Domestic Servant
Farmers D,Farmer's Daughter
Flax Spinner Mill Worker,Flax Mill Spinner
Gen Dealer,Dealer
General Labourer unemployed,Unemployed General Labourer
General Serv Domestic,General Domestic Servant
Groom and Coachman,Groom and Coachman
Income From House Property,48
Iron Molder,Iron Moulder
Labour Agricultural,Agricultural Labourer
Laundres,Laundress
Miles Man on Railway,Railway Milesman
Not Scholar,Scholar
Plumber Apprentice,Apprentice Plumber
Poor Rate Collector,Poor Rate Collector
Porter Railway,Railway Porter
Restaurant Keeper,Restaurant Keeper
Sailors Wife,Sailor's Wife
Shomaker,Shoemaker
Solicitors Clerk General,Solicitor's General Clerk
Stock Broker,Stockbroker
Working in Farm,Agricultural Labourer
Agr'l Labourer,Agricultural Labourer
Assistant in House,House Assistant
Carmelite Nun,Nun
Childrens Maid,Children's Maid
Distiller,Distiller
Farm Occupier,Farm Occupier
Farmer Daught,Farmer's Daughter
Farmering,Farmer
Farmers Dauter,Farmer's Daughter
Fireman on Steamer,Steamer Fireman
Fishing,Fisher
Foreman Labourer,Labourer Foreman
Gardener D. Servant,Gardener Domestic Servant
Gen. Servant Domestic,General Domestic Servant
General Servant. Domestic,General Domestic Servant
Grocer Shop Keeper,Grocery Shopkeeper
Journeyman Tailor,Journeyman Tailor
Laundry Maid Domestic Servant,Laundry Maid Domestic Servant
Linen Ornamentor,Linen Ornamentor
Man Servant,Man Servant
Millner,Milliner
Parlor Maid,Parlourmaid
Religious Sister of Mercy,Nun
Retd Farmer,Retired Farmer
Tanner,Tanner
Telephone Operator,Telephone Operator
Tin Plate Worker,Tin Plate Worker
Wheelwright,Wheelwright
Wood Ranger,Wood Ranger
Apprentice to Dressmaking,Apprentice Dressmaker
Assist House Keeper,Assistant Housekeeper
Barsmaid,Barmaid
Begging,Beggar
Clerk Post Office,Post Office Clerk
Dairy Manager,Dairy Manager
Farm Manager,Farm Manager
Farmeress Son,Farmer's Son
Farmers Scholar,Scholar
Fish Buyer,Fish Buyer
Gate Porter,Gate Porter
General Sevt Domestic,General Domestic Servant
Housekeper,Housekeeper
Junior Clerk,Junior Clerk
Labours,General Labourer
Laundry Smoother,Laundry Smoother
Linen Factory Worker,Linen Factory Worker
Matron of Workhouse,Workhouse Matron
Mill Worker Doffer,Mill Doffer
Mill Worker in Thread Factory,Thread Factory Mill Worker
Nursery Maid,Nursery Maid
Physician,Physician
Retired Clerk,Retired Clerk
Retired National Teacher,Retired National School Teacher
School girl,Scholar
Scripture Reader,Scripture Reader
Shepherd Son,Shepherd's Son
Shepherds,Shepherd
Spinning Mill Worker,Spinning Mill Worker
Teacher of Poor Schools,Poor Schools Teacher
Assistant Clerk,Assistant Clerk
At Shool,Scholar
Caretakers Daughter,Caretaker's Daughter
Chair Maker,Chairmaker
Clerk Shipping,Shipping Clerk
Cook Domestic Sert,Cook Domestic Servant
F Scholar,Scholar
Famers Daughter,Farmer's Daughter
Feather Dealer,Feather Dealer
Flax Yarn Reeler,Flax Yarn Reeler
Labourer Agricult,Agricultural Labourer
Labourer in Ironworks,Ironworks Labourer
Lenen Weaver,Linen Weaver
Manufacturer,Manufacturer
Maternity Nurse,Maternity Nurse
Mill Worker Reeler,Mill Reeler
Not Married,45
Nurse Servant,Nurse Domestic Servant
Reeler Yarn,Yarn Reeler
Rover in Spinning Mill,Spinning Mill Rover
Shop Keepers Daughter,Shopkeeper's Daughter
Stud Groom,Stud Groom
Tea and Wine Merchant,Tea and Wine Merchant
Teacher N.S,National School Teacher
Barrack Servant,Barrack Servant
Blacksmyth,Blacksmith
Brick Yard Labourer,Brickyard Labourer
Builders Labour,Builder's Labourer
Char Women,Charwoman
Compositor Printer,Printer Compositor
Cycle Fitter,Cycle Fitter
Dairy Assistant,Dairy Assistant
Doffer Flax,Flax Doffer
Farmeress Daughter,Farmer's Daughter
Flax Merchant,Flax Merchant
Flax Spreader in Mill,Mill Flax Spreader
Gl. Labourer,General Labourer
Grand Daughter,Granddaughter
Grocer's Clerk,Grocer's Clerk
Grocers Assist,Grocer's Assistant
Herd and Farmer,Farmer and Herd
Hotel Servant,Hotel Servant
House Joiner,House Joiner
Itinerant,Itinerant
Mason Unemployed,Unemployed Mason
Milkman,Milkman
Picture Frame Maker,Picture Frame Maker
Plummer,Plummer
Pupil Midwife,Pupil Midwife
Reeler Mill,Mill Reeler
Retired Baker,Retired Baker
Retired Coachman,Retired Coachman
Seampstress,Seamstress
Server,Server
Shepherd's Wife,Shepherd's Wife
Spool Winder,Spool Winder
Spreader in Spinning Mill,Spinning Mill Spreader
Tinker,Tinker
Weigh Master,Weighmaster
A. Labourer,Agricultural Labourer
B Smith,Blacksmith
Butter Buyer,Butter Buyer
Chartered Accountant,Chartered Accountant
Cook Domestic Svt,Cook Domestic Servant
Doffer in Linen Mill,Linen Mill Doffer
Domestic Servant Housekeeper,Housekeeper Domestic Servant
Electric Engineer,Electrical Engineer
Engineer Fitter,Engine Fitter
Farmar,Farmer
Farmer's Daughter Scholar,Scholar
Farmerss,Farmer
Farmour,Farmer
Fishdealer,Fish Dealer
Flax Carder,Flax Carder
Flax Spinner in Thread Factory,Thread Factory Flax Spinner
Flax Winder,Flax Winder
Foul Dealer,Fowl Dealer
Gardiner Domestic Servant,Gardiner Domestic Servant
General Law Clerk,General Law Clerk
General Medical Practitioner,General Medical Practitioner
Grocers Asst,Grocer's Assistant
Grocery,Grocer
House Parlour Maid,Parlourmaid
"Housemaid, Domestic Servant",Housemaid Domestic Servant
Iron Shipwright,Iron Shipwright
Machanic,Mechanic
Marble Mason,Marble Mason
Marine Fireman,Marine Fireman
Retired Gardener,Retired Gardener
Sch,Scholar
Servant Housemaid,Housemaid Domestic Servant
Shipping Agent,Shipping Agent
Shopkeepers Daughter,Shopkeeper's Daughter
Spinner Wool,Wool Spinner
Striker,Striker
Teacher Music,Music Teacher
Thread Winder,Thread Winder
Waver,Weaver
Whitener,Whitener
Whitesmith,Whitesmith
A Nun,Nun
Apprentice Plater,Apprentice Plater
Apprentice Shoemaker,Apprentice Shoemaker
Attending Shool,Scholar
Cattle Dealer and Farmer,Farmer and Cattle Dealer
Clock Maker,Clockmaker
"Coachman, Domestic Servant",Coachman Domestic Servant
Coal Factor,Coal Factor
Cutler,Cutler
Cycle Engineer,Cycle Engineer
Dealer General,General Dealer
Dock Labour,Dock Labourer
Domestic Nurse,Nurse Domestic Servant
Draper's Clerk,Draper's Clerk
Drapery Traveller,Drapery Traveller
Excise Officer,Excise Officer
Flax Buyer,Flax Buyer
Gas Worker,Gas Worker
Home House Keeper,Housekeeper
Hotel Boots,42
House and Land Agent,House and Land Agent
Iron Works Labourer,Iron Works Labourer
Landlady,Landlady
No Occupation Supported by Friends,No Occupation
Not At School,42
Paper Maker,Papermaker
Policemans Son,Policeman's Son
Quary Labourer,Quarry Labourer
Retired Blacksmith,Retired Blacksmith
Salior,Sailor
School Attendant,School Attendant
Scoler,Scholar
Sergeant R.I.C,Police Sergeant
Shop keeper,Shopkeeper
Shopkeeper's Daughter,Shopkeeper's Daughter
Tailors Daughter,Tailor's Daughter
Telegram Messenger,Telegram Messenger
Working in Factory,Factory Worker
Book Seller,Bookseller
Boot Finisher,Boot Finisher
Charwomen,Charwoman
Coachman Unemployed,Unemployed Coachman
Commercial,41
Discharged Soldier,Discharged Soldier
Domestic Assistant,Domestic Assistant
Engine Driver Railway,Railway Engine Driver
Engine Fitter in Works,Works Engine Fitter
Farmer's Daugh,Farmer's Daughter
Fitter at Works,Works Fitter
Flax Machine Boy,Flax Machine Boy
Float Driver,Float Driver
Flour Mill Labourer,Flour Mill Labourer
Foreman Carpenter,Carpenter Foreman
Fowl Merchant,Fowl Merchant
Frame Maker,Framemaker
Fruit Vendor,Fruit Vendor
G. Servant,General Domestic Servant
Grand Son,Grandson
Herd Daughter,Herd's Daughter
Income,41
Labour Gen,General Labourer
Labourer in Rope Works,Rope Works Labourer
Labouring Class,General Labourer
Lauborer,General Labourer
Marble Polisher,Marble Polisher
Mill Sawyer,Mill Sawyer
Millinery,Milliner
Monitoress,Monitoress
Nurseryman,Nurseryman
Office Messenger,Office Messenger
Parlor Maid Domestic Servant,Parlourmaid Domestic Servant
Plain Worker,General Labourer
Railway Foreman,Railway Foreman
Retired Civil Servant,Retired Civil Servant
Road Steward,Road Steward
Schools,Scholar
Shopman Hardware,Hardware Shopman
Shorthand and Typist,41
Sisters of Charity,Nun
Stable Helper,Stable Helper
Tailor's Apprentice,Apprentice Tailor
Tea Dealer,Tea Dealer
Teacher's Daughter,Teacher's Daughter
Timekeeper,Timekeeper
Tobacco Worker,Tobacco Worker
Twister,Twister
Waitress Domestic Servant,Waitress Domestic Servant
White Worker,White Worker
Workhouse Master,Workhouse Master
Working on the Farm,Agricultural Labourer
Army Pensioner Infantry,Army Pensioner
Asst House Keeper,Assistant Housekeeper
Attending Scool,Scholar
Bleacher Linen,Linen Bleacher
Carpenter and Builder,Builder and Carpenter
Carpenter's Son,Carpenter's Son
Coach Fitter,Coach Fitter
Coach Man Domestic,Coachman Domestic Servant
Damask Tenter,Damask Tenter
Doctor,Doctor
Domestic Servant Gardner,Gardner Domestic Servant
Domestic Servant Kitchen Maid,Kitchenmaid Domestic Servant
Farmer Daugh,Farmer's Daughter
Fire Brigade Man,Fire Brigade Man
Fishermans Daughter,Fisherman's Daughter
G Domestic Servant,General Domestic Servant
Gen Domestic Servant,General Domestic Servant
House Keeping at Home,Housekeeper
Income From Land,40
Labiour,General Labourer
Labouer General,General Labourer
Labourer Agl.,Agricultural Labourer
Labourer Gnl,General Labourer
Labourer in Bleach Works,Bleach Works Labourer
Labourer in Brick Works,Brick Works Labourer
Labr,General Labourer
Labrs Wife,General Labourer's Wife
Land Lord,Landlord
Land and Dividends,40
Lay Brother,Lay Brother
Lodginghouse Keeper,Lodging House Keeper
Machanist,Mechanist
Master Builder,Master Builder
Master Shoemaker,Master Shoemaker
Medical Assistant,Medical Assistant
Merchant Draper,Drapery Merchant
Nat. Sch. Teacher,Nat. Sch. Teacher
No School,Scholar
Policeman's Son,Policeman's Son
Railway Messenger,Railway Messenger
Retired General Servant Domestic,Retired General Domestic Servant
School Pupil,Scholar
Scullery Maid,Scullery Maid
Sheet Metal Worker,Sheet Metal Worker
Sholor,Scholar
Shop Assistant Hardware,Hardware Shop Assistant
Signal Man,Railway Signalman
Slate Maker,Slate Maker
Sock Knitter,Sock Knitter
Trader,Trader
Tramway Conductor,Tramway Conductor
Undertaker,Undertaker
Warehouse Worker,Warehouse Worker
Weaver Factory,Factory Weaver
2nd Engineer,2nd Engineer
Apprentice to Carpenter,Apprentice Carpenter
Billard Marker,Billard Marker
Boat Maker,Boatmaker
Buttler,Butler
Cab Owner,Cab Owner
Carpenter Joiner,Carpenter and Joiner
Clerk in Office,Office Clerk
Collector,Collector
Const R I C,Police Constable
Cook Dom Servant,Cook Domestic Servant
D Servant Cook,Cook Domestic Servant
Domestic Employment,General Domestic Servant
Factory Hand Milk,Milk Factory Hand
Farm Laberour,Agricultural Labourer
Farm Labourer Agl,Agricultural Labourer
Farm Servan,Farm Servant
Farmers Dauther,Farmer's Daughter
Foreman Baker,Baker Foreman
Hand Loom Weaver,Hand Loom Weaver
Hardware Shop Assistant,Hardware Shop Assistant
House Helper,House Helper
House Keepers,Housekeeper
Income Derived from Dividends,39
Labourer Agril,Agricultural Labourer
Ladys Maid,Lady's Maid
Lay Sister,Lay Sister
Malt House Labourer,Malt House Labourer
Muslin Sewer,Muslin Sewer
Niece,Niece
Nurse Servant Domestic,Nurse Domestic Servant
Parlourmaid Domestic,Parlourmaid Domestic Servant
Photographic Artist,Photographic Artist
Railway Stoker,Railway Stoker
Retired Farmeress,Retired Farmer
Retired Policeman,Retired Policeman
Retired Shoemaker,Retired Shoemaker
Sergeant R I C,Police Sergeant
Sewing Agent,Sewing Agent
Steward and Gardener,Steward and Gardener
Teacher School,School Teacher
Tutor,Tutor
Woollen Manufacturer,Woollen Manufacturer
Agricultural Farmer,Farmer
Apprentice to Grocery,Apprentice Grocer
Attendant in Asylum,Asylum Attendant
Caretakers Wife,Caretaker's Wife
Cattier,38
Cattle Driver,Cattle Driver
Christian Brother,Brother
Christian Brother Novice,Novice Brother
Clerk Brewery,Brewery Clerk
Cook Dom Servt,Cook Domestic Servant
Dairymaid Domestic Servant,Dairymaid Domestic Servant
Daughter Scholar,Scholar
Dealer in Clothes,Clothes Dealer
Domestic Servant Genl,General Domestic Servant
Domestic Worker,General Domestic Servant
Drapers' Assistant,Draper's Assistant
Dressmaker's Apprentice,Apprentice Dressmaker
Engineer at Works,Works Engineer
Farm Laborour,Farm Labourer
Farmer Scholar,Scholar
Farmer's D,Farmer's Daughter
Flax Reeler in Mill,Mill Flax Reeler
Holder Up,38
Home Housekeeper,Housekeeper
House Maid Servant,Housemaid Domestic Servant
Linen Weaver Unemployed,Unemployed Linen Weaver
Machinist Clothing Factory,Clothing Factory Machinist
Not a Scholar,38
Nurse Mental,Mental Nurse
Outfitter,Outfitter
Overseamer,38
Piano Tuner,Piano Tuner
Pork Curer,Pork Curer
Publicans Wife,Publican's Wife
Quay Labour,Quay Labourer
Retired Sailor,Retired Sailor
Schol,Scholar
Seamsterss,Seamstress
Shool Boy,Scholar
Shop Keeper Grocery,Grocery Shopkeeper
Shopkeepers Son,Shopkeeper's Son
Son Scholar,Scholar
Spinner Mill Worker,Spinner Mill Worker
Spreader Flax,Flax Spreader
Stoker in Linen Factory,Linen Factory Stoker
Sugar Boiler,Sugar Boiler
Surface Labourer,Surface Labourer
Unemployed Labourer,Unemployed General Labourer
Water Inspector,Water Inspector
Waver Linen,Linen Weaver
Wollen Weaver,Woollen Weaver
Agracultural Labourer,Agricultural Labourer
Attending School Scholar,Scholar
Barrack Labourer,Barrack Labourer
Brigidine Nun,Nun
Caretaker on Farm,Farm Caretaker
Carowner,Car Owner
Chimney Sweeper,Chimney Sweep
Civil Service Clerk,Civil Service Clerk
Clerk Linen Trade,Linen Trade Clerk
Commercial Traveler,Commercial Traveler
Constable R I Constabulary,Police Constable
Cooper Master,Master Cooper
Corpenter,Carpenter
Daughter in Law,Daughter in Law
Dressmakers,Dressmaker
Fancy Boxmaker,Fancy Box Maker
Farmer and Grazier,Farmer and Grazier
Genl Labour,Genl Labourer
Grocer and Provision Merchant,Grocer and Provision Merchant
Grocer and c,Grocer
Grocers Manager,Grocer's Manager
H Wife,Housewife
Hacklemaker,Hacklemaker
Handkerchief Smoother,Handkerchief Smoother
Harnes Maker,Harnessmaker
Herd Domestic Servant,Herd
Hous Wife,Housewife
Independent,37
Iron Fitter,Iron Fitter
Justice of the Peace,Justice of the Peace
Kitchen Maid Domestic Servt,Kitchen Maid Domestic Servant
Labourer in Dye Works,Dye Works Labourer
Labourer in Linen Works,Linen Works Labourer
Laburer,General Labourer
Land,37
Lighter Man,Lighterman
Limestone Quarry Labourer,Limestone Quarry Labourer
Linen Smoother,Linen Smoother
Linen Spreader,Linen Spreader
Linen Weaver in Mill,Mill Linen Weaver
Machine Feeder,Machine Feeder
Magistrate and Farmer,Farmer and Magistrate
N.S.Teacher,National School Teacher
Pensioner from R.I.C,Police Pensioner
Pichaur,37
Property Owner,Property Owner
Publican's Wife,Publican's Wife
Reeler in Flax Mill,Flax Mill Reeler
Religious Nun,Nun
Reller,Reeler
Resident Magistrate,Resident Magistrate
Retired Builder,Retired Builder
Retired Seaman,Retired Seaman
Road Maker,Road Maker
Seamistress,Seamstress
Shopassistant,Shop Assistant
Sister of the Order of Mercy,Nun
Smith and Farmer,Farmer and Smith
Summons Server,Summons Server
Tape Weaver,Tape Weaver
Training as Servant,37
Wheel Wright,Wheelwright
Widow of a Labourer,Labourer's Widow
Actress,Actress
Agricultural Labourer and Fisherman,Fisherman and Agricultural Labourer
Assist Housekeeper,Assistant Housekeeper
Assisting in Household,Housework
Barrister,Barrister
Blacksmiths Helper,Blacksmith's Helper
Boot Shop Assistant,Boot Shop Assistant
Clerk in Post Office,Post Office Clerk
Clog Maker,Clog Maker
Cook Domestic Ser,Cook Domestic Servant
Domestic Servt Cook,Cook Domestic Servant
Employed in House,36
Engine Man,Engine Man
Factory Employe,Factory Employee
Farm Servant Unemployed,Unemployed Farm Servant
Farmer and Army Pensioner,Farmer and Army Pensioner
Farmers Mother in Law,Farmer's Mother in Law
Fowl Buyer,Fowl Buyer
Gen Laborer,General Laborer
"General Labourer, At School",36
Genl Ser Domestic,General Domestic Servant
Hand Embroiderer,Hand Embroiderer
Harbour Master,Harbour Master
Hose Keeper,Housekeeper
Hotel Proprietoress,Hotel Proprietress
House Keeper Domestic Servt,Housekeeper Domestic Servant
Housekepper,Housekeeper
Irs of Money,36
Labourer Agrl.,Agricultural Labourer
Maid Domestic,Maid Domestic Servant
Mesenger,Messenger
Mill Workers,Mill Worker
Mineral Water Bottler,Mineral Water Bottler
Mother in Law,Mother in Law
National Sch. Teacher,National School Teacher
Nursery Governess,Nursery Governess
Policemans Wife,Policeman's Wife
Post Office Messenger,Post Office Messenger
"Servant, Domestic",General Domestic Servant
Shopwoman,Shopwoman
Silver Smith,Silversmith
Stamper,Stamper
Tailor Journeyman,Journeyman Tailor
Tailor's Wife,Tailor's Wife
Thread Drawer,Thread Drawer
Ward Maid,Ward Maid
Warehouse Girl,Warehouse Girl
Watchmaker Finisher,Watchmaker Finisher
Weaver Linen Factory,Linen Factory Weaver
Yarn Reeler in Mill,Mill Yarn Reeler
Agricultural Labrour,Agricultural Labourer
Apprentice Engine Fitter,Apprentice Engine Fitter
Attends School,Scholar
Beetling Engine Man,Beetling Engine Man
Boot Maker Master,Master Bootmaker
Bread Baker,Bread Baker
Brush Drawer,Brush Drawer
Chemist's Assistant,Chemist's Assistant
Cooker,Cook
Domestic Sert,General Domestic Servant
Domestic Servant Butler,Butler Domestic Servant
Domestic Servant Maid,Maid Domestic Servant
Domestic Serveant,General Domestic Servant
Drug Porter,Drug Porter
Druggist Assistant,Druggist Assistant
Evicted Tenant,Evicted Tenant
Factory Land,35
Farm Land,35
Farm's Son,Farmer's Son
Farms Servant,Farm Servant
Furniture Salesman,Furniture Salesman
Handkerchief Ornamentor,Handkerchief Ornamentor
Household,35
Labourer in Corn Store,Corn Store Labourer
Labouring on Farm,Agricultural Labourer
Laundry Work,Launderer
Linen Factory Weaver,Linen Factory Weaver
Linnen Finisher,Linen Finisher
Magistrate,Magistrate
Nuns,Nun
P.O. Assistant,Post Office Assistant
Pawnbroker Assistant,Pawnbroker's Assistant
Plumber Unemployed,Unemployed Plumber
R C Priest,Priest
Railway Labour,Railway Labourer
Religions and Teacher,35
Saddler Master,Master Saddler
Saleswoman Drapery,Drapery Saleswoman
Sanitary Inspector,Sanitary Inspector
Schloar,Scholar
Scholoar,Scholar
Scoolar,Scholar
Sewing Machinist,Sewing Machinist
Shepard,Shepard
Shirt Finisher,Shirt Finisher
Shop Assistant Unemployed,Unemployed Shop Assistant
Shop Keepers Wife,Shopkeeper's Wife
Shopkeeper's Son,Shopkeeper's Son
Spinner of Flax,Flax Spinner
Sweet Maker,Sweet Maker
Tailor Employed,Tailor
Teacher Unemployed,Unemployed Teacher
Warder,Warder
Winder in Linen Mill,Linen Mill Winder
Agricultural Labourer Daughter,Agricultural Labourer's Daughter
Assists at Home,Housework
Carder in Mill,Mill Carder
Children's Maid,Children's Maid
Compositer,Compositor
Cotten Weaver,Cotten Weaver
Creamery Servant,Creamery Servant
Damask Designer,Damask Designer
Dealer in Cattle,Cattle Dealer
Drawer in,Drawer
Farmer and Contractor,Farmer and Contractor
Farmer and Wool Weaver,Farmer and Wool Weaver
Farmer's Daug,Farmer's Daughter
Fitter Engine,Engine Fitter
Frs Daughter,Farmer's Daughter
General Labourer and Fisherman,Fisherman and General Labourer
General Servant Domst,General Domestic Servant
Gnl Servant Domestic,General Domestic Servant
Grocer and Vintner,Grocer and Vintner
Harbour Labourer,Harbour Labourer
House Furnisher,House Furnisher
House maid,Housemaid Domestic Servant
Household Business,34
Housemaid D Servant,Housemaid Domestic Servant
Iron Worker,Iron Worker
Lace Knitter,Lace Knitter
Land Agents Assistant,Land Agent's Assistant
Lapper,Lapper
Law Clerk General,General Law Clerk
Linen Clerk,Linen Clerk
Linen Drawer,Linen Drawer
Linenlapper,Linen Lapper
Malthouse Labourer,Malt House Labourer
Messinger,Messenger
Mill Spinner,Mill Spinner
Moulder Iron,Iron Moulder
Ostler,Ostler
Postoffice Assistant,Post Office Assistant
Railway Accountant,Railway Accountant
Religious of the Presentation Order,Nun
Retired Charwoman,Retired Charwoman
Retired General Servant,Retired General Domestic Servant
Scholar at Home,Scholar
Schoolers,Scholar
Scolour,Scholar
Scool Boy,Scholar
Seamstrees,Seamstress
Servant Domestic General,General Domestic Servant
Sewing Machine Mechanic,Sewing Machine Mechanic
Shirt Factory Hand,Shirt Factory Hand
Shoolar,Scholar
Smith Black,Blacksmith
Spinner Yarn,Yarn Spinner
Talior,Tailor
Teacher Nat School,National School Teacher
Teacher's Wife,Teacher's Wife
Town Clerk,Town Clerk
Undergraduate R U I,Undergraduate
Warder Prison Service,Prison Service Warder
Warehouse,34
Watchmaker and Jeweller,Watchmaker and Jeweller
Wood Sawyer,Wood Sawyer
Work Man,Workman
Yarn Spinner Mill Worker,Yarn Mill Spinner
Actor,Actor
Agriculturist,Agriculturist
Assistant Dressmaker,Assistant Dressmaker
Assistant School Teacher,Assistant School Teacher
At School Scholar,Scholar
At Scool,Scholar
Basketmaker,Basketmaker
Boiler Maker at Works,Works Boilermaker
Braider,Braider
Cab Proprietor,Cab Proprietor
Card Cutter,Card Cutter
Charwoman Domestic,Charwoman Domestic Servant
Childs Maid,Child's Maid
Club Steward,Club Steward
Collar Smoother,Collar Smoother
Cooper and Farmer,Farmer and Cooper
Dairy Maid Domestic,Dairymaid Domestic Servant
Dealer Fruit,Fruit Dealer
Doffer Mill,Mill Doffer
Domestic Cook Servant,Cook Domestic Servant
Domestic Housemaid,Housemaid Domestic Servant
Drapers Shop Assistant,Draper's Shop Assistant
Dressmaker Unemployed,Unemployed Dressmaker
Elementary Teacher,Elementary Teacher
Ex Sergt R I C,Ex Police Sergeant00
Farmer's daughter,Farmer's Daughter
Farmers' Daughter,FFarmer's Daughter
Fireman Belfast Fire Brigade,Fire Brigade Fireman
Fishermans Wife,Fisherman's Wife
Fishery Instructor,Fishery Instructor
Gen Servant Dom,General Domestic Servant
Gen'l Servant Domestic,General Domestic Servant
General Practitioner,General Practitioner
General servant Domestic,General Domestic Servant
Heater Boy,Heater Boy
House Keepper,Housekeeper
House Steward,House Steward
Housekeeper Domestic Servt,Housekeeper Domestic Servant
"Housekeeper, Domestic",Housekeeper Domestic Servant
Housemaid Servant,Housemaid Domestic Servant
Insurance Inspector,Insurance Inspector
Labourer in Woollen Factory,Woollen Factory Labourer
Linnen Spinner,Linen Spinner
Marine Store Dealer,Marine Store Dealer
Mason Master,Master Mason
Mechanist,Mechanist
Night Nurse,Night Nurse
Nursery Maid Domestic Servant,Nursery Maid Domestic Servant
Post Office Official,Post Office Official
Postman Rural,Rural Postman
Preparer,Preparer
Religions Order Sacred Head,Nun
Rent Collector,Rent Collector
Retired Servant Domestic,Retired General Domestic Servant
Seimstress,Seamstress
Servent Domestic,General Domestic Servant
Sexton of Church,Sexton
Ship Steward,Ship Steward
Shirt Factory Girl,Shirt Factory Girl
Shop Assistants,Shop Assistant
Shopwoman Drapery,Drapery Shopwoman
Silversmith,Silversmith
Spinner in Flax Spinning Mill,Flax Spinning Mill Spinner
Wards Maid,Ward's Maid
Weaver in Mill,Mill Weaver
Weighmaster,Weighmaster
Accountants Clerk,Accountant's Clerk
Agric. Labourer,Agricultural Labourer
Agricultural Labourers Daughter,Agricultural Labourer's Daughter
Agriculturer Labourer,Agricultural Labourer
Apprentice Moulder,Apprentice Moulder
Asistant,Assistant
Assistant Keeper,Assistant Keeper
Assisting in Shop,Shop Assistant
Assists in House,Housework
Blacksmiths Apprentice,Apprentice Blacksmith
Bootmaker Master,Master Bootmaker
Brewry Labourer,Brewery Labourer
Brickmaker,Brickmaker
Carpentor,Carpenter
Cattledealer,Cattle Dealer
Chemical Labourer,Chemical Labourer
Coast Guard Pensioner,Coastguard Pensioner
Commerical Clerk,Commerical Clerk
Commision Agent,Commission Agent
Cook D. Servant,Cook Domestic Servant
Cow Keeper,Cow Keeper
Dairy Servant,Dairy Servant
Dealer in Vegetables,Vegetables Dealer
Drapery Shop Assistant,Drapery Shop Assistant
Factory Employee,Factory Employee
Farme's Son,Farmer's Son
Farmer and Smith,Farmer and Smith
Farmer's Sister in Law,Farmer's Sister in Law
Farmer's Son Scholar,Scholar
Farmlabourer,Agricultural Labourer
Field Worker,Field Worker
Fruit Merchant,Fruit Merchant
Gas Works Labourer,Gas Works Labourer
General Laburer,General Labourer
General Sert Domestic,General Domestic Servant
Genl. Servt Domestic,General Domestic Servant
House Manager,House Manager
Labour Quay,Quay Labourer
Labourer Foundry,Foundry Labourer
Law Messenger,Law Messenger
Letterpress Printer,Letterpress Printer
Linen Dresser,Linen Dresser
Linen Salesman,Linen Salesman
Linen Weaver Factory Worker,Linen Factory Weaver
Lock Smith,Locksmith
Machinist Shirt Factory,Shirt Factory Machinist
Mason Labourer,Mason's Labourer
Mechanic Fitter,32
Mother Help,32
None Scholar,Scholar
Oiler in Factory,Factory Oiler
Pantry Boy,Pantry Boy
Petty Sessions Clerk,Petty Sessions Clerk
Preparer in Spinning Mill,Spinning Mill Preparer
Retired Fisherman,Retired Fisherman
Scholar Farmer's Daughter,Scholar
School Scholar,Scholar
Shop Assitant,Shop Assistant
Stable Boy Domestic Servant,Stableboy Domestic Servant
Stationary Engine Driver,Stationary Engine Driver
Stationery Engine Driver,Stationary Engine Driver
Stitcher in Factory,Factory Stitcher
Tailor Cutter,32
Tailores,Tailor
Watch Man,Watchman
Winder Mill,Mill Winder
Agricultural Labourer's Wife,Agricultural Labourer's Wife
Apprentice Iron Turner,Apprentice Iron Turner
Apprentice Printer,Apprentice Printer
Assistant Nurse,Assistant Nurse
Bank Officer,Bank Officer
Book Sewer,Book Sewer
Butcher and Farmer,Farmer and Butcher
