occupation,correction
Gatekeeper,Gatekeeper
Land Holder,Landholder
Post Office Assistant,Post Office Assistant
Pauper,Pauper
Rivetter,Riveter
Farmer and Blacksmith,Farmer and Blacksmith
Linen Yarn Winder,Linen Yarn Winder
Boat Man,Boatman
Retired Farmers Wife,Retired Farmer's Wife
Salesman,Salesman
Winder Linen,Linen Winder
Electrician,Electrician
Packer,Packer
Carpenter and Joiner,Carpenter and Joiner
Herd's Son,Herd's Son
Spirit Grocer,Spirit Grocer
Annuities,Annuitant
Domestic Servant Housemaid,Housemaid Domestic Servant
Engine Cleaner,Engine Cleaner
General Labourer Unemployed,Unemployed General Labourer
Mason's Labourer,Mason's Labourer
Sister,Sister
Telegraph Clerk,Telegraph Clerk
Household Work,Housework
Retired Teacher,Retired Teacher
Mistress,Mistress
N. Teacher,National School Teacher
Railway Milesman,Railway Milesman
Bread Van Driver,Bread Van Driver
Domestic Servant Nurse,Nurse Domestic Servant
Hotel Porter,Hotel Porter
Factory,223
Sticher,Stitcher
Boilermaker,Boilermaker
Retired Domestic Servant,Retired Domestic Servant
Clerk in Holy Orders,Clerk in Holy Orders
Dairymaid,Dairymaid
G Servant,General Domestic Servant
Machenist,Machinist
Newsagent,Newsagent
Scolars,Scholar
Civil Bill Officer,Civil Bill Officer
Shop Boy,Shopboy
Carpenter Apprentice,Apprentice Carpenter
Drapery Assistant,Draper's Assistant
Mechanical Engineer,Mechanical Engineer
Tobacco Spinner,Tobacco Spinner
Vice Folder,Vice Folder
Parlourmaid Domestic Servant,Parlourmaid Domestic Servant
Solicitors General Clerk,Solicitor's General Clerk
Coachmaker,Coachmaker
Dairy Keeper,Dairy Keeper
Presentation Nun,Nun
Tenant Farmer,Farmer
Farmer's Labourer,Agricultural Labourer
Gas Labourer,Gas Labourer
Catholic Curate,Curate
Coach Smith,Coachsmith
Monitor,Monitor
Shipyard Labourer,Shipyard Labourer
Labourer Unemployed,Unemployed Labourer
