Yes both read and write,Read Write
Read and writt,Read Write
C not read,Illiterate
Yes r and w,Read Write
Can read nor write,Read
Cannot reade or write,Illiterate
Read and white,Read Write
Cannot read nor right,Illiterate
Can read but not write,Read
Red and right,Read Write
Can r and wright,Read Write
Read and write Scholar,Read Write
Rite read,Read Write
Cant read and rite,Illiterate
Going to School,Read Write
Cannot read no write,Illiterate
Cannot read writ,Illiterate
Schollars,Read Write
Rad write,Read Write
Read wr,Read Write
Both r and write,Read Write
Neither cannot read,Illiterate
Read and wit,Read Write
Nether,Illiterate
Neither r or w,Illiterate
R wright,Read Write
Read but cannot write,Read
Not reed or write,Illiterate
Can read r,Read Write
Schoolars,Read Write
Cannot read and write either,Illiterate
Riad,Read
Red rite,Read Write
Cannot red write,Illiterate
Riad write,Read Write
Cannot rd and write,Illiterate
R r,Read Write
Cannot reat,Illiterate
Cannot read infant,Illiterate
Cannot r or wr,Illiterate
Cannot read a write,Illiterate
Can read and write yes,Read Write
Canot not read,Illiterate
Scholar read,Read
Could read and write,Read Write
Reaid and write,Read Write
Cant write or read,Illiterate
Cant reed or rite,Illiterate
Rea write,Read Write
Redd,Read
Cant rd or write,Illiterate
Cannot write nor read,Illiterate
Uneducated,Illiterate
Fair,Read Write
Re write,Read Write
Read and write education,Read Write
Read and rrite,Read Write
She cannot read or write,Illiterate
Cannot write read,Illiterate
Read and righ,Read Write
Canot read or wright,Illiterate
Read r,Read Write
Education,Read Write
R only,Read
Right and read,Read Write
Non,Illiterate
Read an wright,Read Write
Neither read write,Illiterate
Read and r write,Read Write
Cannot read and wright,Illiterate
Read and wirte,Read Write
Read and cannot write,Read
Cannot read wr,Illiterate
Read and Writ,Read Write
Read and rigt,Read Write
Canot r w,Illiterate
Unable to read or write,Illiterate
Yes Both,Read Write
Cannot read right,Illiterate
Read and write yes both,Read Write
Can r or w,Read Write
Can r or write,Read Write
Cannont read,Illiterate
Cannot read and wr,Illiterate
Can reid and rite,Read Write
Both r w,Read Write
Can red write,Read Write
R and wright,Read Write
Read and wrig,Read Write
Read only cannot write,Read
Read writh,Read Write
Reads write,Read Write
Read a right,Read Write
Can read wri,Read Write
Canot read rite,Illiterate
Read and wrtie,Read Write
Canot read nor rite,Illiterate
Can redd and write,Read
Cannott read nor write,Illiterate
Nither,Illiterate
Cannot wright,Read
Read no,Illiterate
Rread,Read
Good,Read Write
Cant reid,Illiterate
Reard and write,Read Write
Can reed only,Read
Canot reed or write,Illiterate
Cnt read or write,Illiterate
Can Read Only,Read
I can read and write,Read Write
Cnot read or write,Illiterate
R and right,Read Write
R and Write,Read Write
Iliterate,Illiterate
Cannot read of write,Illiterate
Read and write braille,Read Write
Both can read and write,Read Write
Cannot read and wrte,Illiterate
N read or write,Illiterate
Can read and wrigt,Read Write
Read and writee,Read Write
Cannot rd or w,Illiterate
She can read write,Read Write
Read scholar,Read
Read or right,Read Write
R and writ,Read Write
Neither read or rite,Illiterate
Educated read and write,Read Write
Not yet,Illiterate
R cannot read,Illiterate
Not red or write,Illiterate
Cannon read,Illiterate
Can not write,Read
Read wrigh,Read Write
Read wrigt,Read Write
Read r write,Read Write
Read and rites,Read Write
Schooler,Read Write
Cant r w,Illiterate
Cannot read and,Illiterate
Rea writ,Read Write
Cant rd or wrt,Illiterate
Reod and write,Read Write
Cannot read illiterate,Illiterate
Read write and cypher,Read Write
Cnot read,Illiterate
Read ad write,Read Write
Reaid write,Read Write
Connot red,Illiterate
R rite,Read Write
Read and write Yes,Read Write
Can wread and write,Read Write
English read and write,Read Write
Illeterate,Illiterate
Red and wite,Read Write
Cannot R or W,Illiterate
Can Read and Rite,Read Write
Do both,Read Write
Read and we,Read Write
Red and wright,Read Write
Rede write,Read Write
Can read on write,Read Write
Reed an write,Read Write
Cant read nor wr,Illiterate
Sholar,Read Write
Read an writ,Read Write
Canot r write,Illiterate
Read write yes,Read Write
Canot reade,Illiterate
Can neither,Illiterate
Cant read or wrte,Illiterate
Read and wt,Read Write
Cant read or writ,Illiterate
Cannot write cannot read,Illiterate
Can reaad and write,Read Write
Can rite and read,Read Write
Reat and write,Read Write
Cann read and write,Read Write
Rea,Read
Read an w,Read Write
Can r and rite,Read Write
Canott read or write,Illiterate
Read a wright,Read Write
W read,Read Write
Reede and write,Read Write
Schlor,Read Write
Cant rite,Read
Cannot reed or rite,Illiterate
Cant reed or write,Illiterate
C read and rite,Read Write
Cant read w,Illiterate
Read not wright,Read
Can all read and write,Read Write
Cannot read and r,Illiterate
Read and write etc,Read Write
Read writte,Read Write
School Boy,Read Write
She cannot read,Illiterate
Read and ?,Read Write
Cant read nor right,Illiterate
Rede rite,Read Write
Reed or rite,Read Write
C read and w,Read Write
Ried and write,Read Write
Can rd and wr,Read Write
Can read and write both,Read Write
Can read wrte,Read Write
Cannot neither,Illiterate
Know,Illiterate
Read a w,Read Write
Cant read or wr,Illiterate
Neather read or write,Illiterate
Can read and rigt,Read Write
R and wr,Read Write
Scholor,Read Write
Read - write,Read Write
Not read rite,Illiterate
Read yes write,Read Write
Reard write,Read Write
Cannot read or wte,Illiterate
Cannott read and write,Illiterate
Yes read and rite,Read Write
Cant read are write,Illiterate
No Scholar,Read Write
Cannot red and write,Illiterate
Read and rig,Read Write
School Girl,Read Write
Cant red,Illiterate
Cannot read or rit,Illiterate
Cannot read nor,Illiterate
Can reade write,Read Write
Cannot rd nor write,Illiterate
Not going to school,Illiterate
Can red and rite,Read Write
Can read wite,Read Write
Can red rite,Read Write
Reaad only,Read
Cannot read wright,Illiterate
r and write,Read Write
Bothe,Read Write
Cand read and write,Read Write
Cannot rad or write,Illiterate
Read ad rite,Read Write
Can reed rite,Read Write
Do read and write,Read Write
Can not read and write,Illiterate
Reed writ,Read Write
Read on rite,Read Write
Not r w,Illiterate
Cannot red or w,Illiterate
Read and write Both,Read Write
Can wright,Write
Read and warite,Read Write
No cannot,Illiterate
Cannot read yet,Illiterate
French only,Read Write
Read can,Read
R and yes w,Read Write
Cannot read r,Illiterate
Bouth,Read Write
Read or w,Read Write
Read and wrile,Read Write
Cannot wread,Illiterate
C not read or write,Illiterate
Read and rwrite,Read Write
Can read a r,Read Write
Rread and rite,Read Write
Read onl,Read
CanNot read and write,Illiterate
Can not read or rite,Illiterate
Can read and wirte,Read Write
Cannot w or r,Illiterate
Cannot reads,Illiterate
Rede and rite,Read Write
Read and rigte,Read Write
Reed and wrte,Read Write
Cannot red or rite,Illiterate
C read nor write,Illiterate
No cannot read or write,Illiterate
Cant read only,Illiterate
School girl,Read Write
He cannot,Illiterate
Cannot rite or read,Illiterate
R a write,Read Write
Neither r nor w,Illiterate
Cannot only,Illiterate
Can write can read,Read Write
R right,Read Write
Can read wrt,Read Write
Can Read only,Read
Can read and cannot write,Read
Read of write,Read Write
Rred write,Read Write
Dont read or rite,Illiterate
He cannot read or write,Illiterate
Cannot r or rite,Illiterate
He can read and rite,Read Write
Cannot write can read,Illiterate
Cannot reed nor write,Illiterate
Not write or read,Illiterate
Dont read write,Illiterate
Does not read or write,Illiterate
Cant either,Illiterate
Can right,Write
Cant r and w,Illiterate
Not read not rite,Illiterate
Reader writer,Read Write
Reade and right,Read Write
I can,Read Write
Cannot read nor wright,Illiterate
Cant read nor wright,Illiterate
Cannot re or write,Illiterate
Con read,Read
Canot read or wrte,Illiterate
Read and wrete,Read Write
read and write,Read Write
Scholar cannot read,Read
Read rite etc,Read Write
Can read not rite,Read
Cannot read nor wrte,Illiterate
Ca read and write,Read Write
Reed and writh,Read Write
Not read w,Illiterate
Not read or wr,Illiterate
Cannot r or writ,Illiterate
Read and wrigte,Read Write
Cannot reod,Illiterate
A little,Read Write
Cant read or rit,Illiterate
Can't write,Illiterate
Can read but cannot write,Read
Yess read and write,Read Write
Do not read or write,Illiterate
Neather read nor write,Illiterate
Reade and wright,Read Write
Cant read or wrt,Illiterate
No read nor write,Illiterate
Rite and write,Read Write
? and write,Read Write
Can r,Read
Rid and write,Read Write
Write and rd,Read Write
Fully educated,Read Write
Cannot r r,Illiterate
Children,Illiterate
Dont read and write,Illiterate
Read d write,Read Write
Read writer,Read Write
Cannot reid or rite,Illiterate
Rred and write,Read Write
