Roman Catholic,Roman Catholic.1,Classification,Orientation,Theology,Polity
Presyteians,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Reformed Pryspeterian,Reformed Pryspeterian,Unknown,Unknown,Unknown,Unknown
St Marys Protestant Irish Church,St Marys Protestant Irish Church,Unknown,Unknown,Unknown,Unknown
Pro Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Unattached,Protestant Unattached,Unknown,Unknown,Unknown,Unknown
Prespertiran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbytearins,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cotolic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Non Subscribing Presyterian,Non Subscribing Presyterian,Unknown,Unknown,Unknown,Unknown
Roam Catolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathloics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Churche of Rome,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
United Free Presbyteian Church of Scotland,United Free Presbyteian Church of Scotland,Unknown,Unknown,Unknown,Unknown
Protestent,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Brethrin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Calath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chatlice Roman,Chatlice Roman,Unknown,Unknown,Unknown,Unknown
Presfyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Ireland St Thoma's,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Preshteren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian (Commonly Called Brethren),Christian (Commonly Called Brethren),Unknown,Unknown,Unknown,Unknown
E C of Scotland,E C of Scotland,Unknown,Unknown,Unknown,Unknown
Church of Ireland Protestant C I,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rooman Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Undensminational,Undensminational,Unknown,Unknown,Unknown,Unknown
Roam Catolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Protstant,Irish Church Protstant,Unknown,Unknown,Unknown,Unknown
Lunity Church,Lunity Church,Unknown,Unknown,Unknown,Unknown
High Church England,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbterran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prypresterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholic Protestant,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespetreain Church,Prespetreain Church,Unknown,Unknown,Unknown,Unknown
Non Sub Prebysterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roan Colty,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Curch of England,Protestant Curch of England,Unknown,Unknown,Unknown,Unknown
Prespitirian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cattac,R Cattac,Unknown,Unknown,Unknown,Unknown
Presbyterain Seccession Church,Presbyterain Seccession Church,Unknown,Unknown,Unknown,Unknown
Baptised R C,Baptist,Christianity,Protestant,Trinitarian,Congregational
Congregationlst,Congregationlst,Unknown,Unknown,Unknown,Unknown
R Cahloic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Secceder Ch,Secceder Ch,Unknown,Unknown,Unknown,Unknown
Presbyterrianar,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholic St Andrews R C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Culcolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Indanpdent,Indanpdent,Unknown,Unknown,Unknown,Unknown
Estd Church,Estd Church,Unknown,Unknown,Unknown,Unknown
Irish Town Protestant Church,Irish Town Protestant Church,Unknown,Unknown,Unknown,Unknown
Congernation,Congernation,Unknown,Unknown,Unknown,Unknown
Roman Cacotc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roam Cotholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisbertian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presptearien Church,Presptearien Church,Unknown,Unknown,Unknown,Unknown
Roman Cath Clergyman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romman Cath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Breth in Christ,Breth in Christ,Unknown,Unknown,Unknown,Unknown
Irish Church Mariners Church,Irish Church Mariners Church,Unknown,Unknown,Unknown,Unknown
Protestant Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Eps Church,Eps Church,Unknown,Unknown,Unknown,Unknown
Cathlick Chuch,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteorian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Irish Catholice,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbetterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catholic St Peters,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Wesleyan Chapel,Wesleyan Chapel,Unknown,Unknown,Unknown,Unknown
Presbyterion Body,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant Episcople Church,Protestant Episcople Church,Unknown,Unknown,Unknown,Unknown
Irish Church Protestant Denonrinaleth,Irish Church Protestant Denonrinaleth,Unknown,Unknown,Unknown,Unknown
E Scotch Church,E Scotch Church,Unknown,Unknown,Unknown,Unknown
Presbyterian Sceder,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbeyterians,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Further Information Declind,Further Information Declind,Unknown,Unknown,Unknown,Unknown
Catalick,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Clatholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Church of Roam,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Reformed Presbaterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methodist (Wes),Methodist,Christianity,Protestant,Trinitarian,Connexional
Reformed Pryst Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
G Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chuch of Ierland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Epispicilion Irish Church,Epispicilion Irish Church,Unknown,Unknown,Unknown,Unknown
Epis Ch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rooman Catlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
A Junior,A Junior,Unknown,Unknown,Unknown,Unknown
Presbttarin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Information Refused J S,Information Refused J S,Unknown,Unknown,Unknown,Unknown
Roman Cathirlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Reformed Prebesterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
C of Engl,C of Engl,Unknown,Unknown,Unknown,Unknown
None Subscribing Prespyterian,None Subscribing Prespyterian,Unknown,Unknown,Unknown,Unknown
Presbyterior,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Romen Catheleck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlic Religi,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Saint Michels Parish Church,Church of Ireland Saint Michels Parish Church,Unknown,Unknown,Unknown,Unknown
R Chatloick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
U N F Church,U N F Church,Unknown,Unknown,Unknown,Unknown
Episcoline,Episcoline,Unknown,Unknown,Unknown,Unknown
First Presbyterian Congregation,First Presbyterian Congregation,Unknown,Unknown,Unknown,Unknown
Church of Ireland St Georges I C,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholtic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chatolic Profession,Chatolic Profession,Unknown,Unknown,Unknown,Unknown
Roman Cattol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cotote,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ch of Romn,Ch of Romn,Unknown,Unknown,Unknown,Unknown
Roman Catholic C Chappial,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Epispcoplian,Protestant Epispcoplian,Unknown,Unknown,Unknown,Unknown
Prybersterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Drumgoon,Drumgoon,Unknown,Unknown,Unknown,Unknown
Prot Episcoplian,Prot Episcoplian,Unknown,Unknown,Unknown,Unknown
P Episcopalian Church,P Episcopalian Church,Unknown,Unknown,Unknown,Unknown
Bapbist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Mithadost,Methodist,Christianity,Protestant,Trinitarian,Connexional
Co Catholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Proffesion,Catholic Proffesion,Unknown,Unknown,Unknown,Unknown
Drumquin Presbyterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cahlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Moravain Church,Moravain Church,Unknown,Unknown,Unknown,Unknown
Church Ireland Protestant Rathmines Church,Church Ireland Protestant Rathmines Church,Unknown,Unknown,Unknown,Unknown
Presbyern,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cholitic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodist New Conection,Methodist New Conection,Unknown,Unknown,Unknown,Unknown
Church of Ireland St Barnduns,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespetiarns,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Irish Lurgan Church,Irish Lurgan Church,Unknown,Unknown,Unknown,Unknown
Roman Cotlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathlic Curch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Chuch of England,Protestant Chuch of England,Unknown,Unknown,Unknown,Unknown
Episcopalial,Episcopalial,Unknown,Unknown,Unknown,Unknown
Roman Catholicr,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Co,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church Ireland (Mathains),Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Bretherns,Bretherns,Unknown,Unknown,Unknown,Unknown
Roman Catholic Frances St Chapel,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prtestant Episcopalia,Prtestant Episcopalia,Unknown,Unknown,Unknown,Unknown
Presbyterian G R,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
V Presbertian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Hurch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Cactcholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopa Church,Episcopa Church,Unknown,Unknown,Unknown,Unknown
Romane C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeterin Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Ireland St Judes Protestant Church,Church of Ireland St Judes Protestant Church,Unknown,Unknown,Unknown,Unknown
Roman Catholic St Matthews R C Church,Roman Catholic St Matthews R C Church,Unknown,Unknown,Unknown,Unknown
Congretationilist,Congretationilist,Unknown,Unknown,Unknown,Unknown
Presbyerien,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
High Church London,High Church London,Unknown,Unknown,Unknown,Unknown
Christian Brethn,Christian Scientist,Christianity,Restorationist,Nontrinitarian,Congregational
Episcoplian Irish Church,Episcoplian Irish Church,Unknown,Unknown,Unknown,Unknown
Seperolist,Seperolist,Unknown,Unknown,Unknown,Unknown
Presbetiron,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespysterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cath Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespretaine,Prespretaine,Unknown,Unknown,Unknown,Unknown
Prodestant Church of England,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Ireland St Georges,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
U Free Scotland,U Free Scotland,Unknown,Unknown,Unknown,Unknown
Irish Church St George,Irish Church St George,Unknown,Unknown,Unknown,Unknown
Presybteran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Epistopal Church,Epistopal Church,Unknown,Unknown,Unknown,Unknown
Irish Protestant Episcopble Church,Irish Protestant Episcopble Church,Unknown,Unknown,Unknown,Unknown
Zwinglian,Anglican,Christianity,Protestant,Trinitarian,Episcopal
Christian Known as Bretheren,Christian Known as Bretheren,Unknown,Unknown,Unknown,Unknown
R Presbytearin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Eposicpilian Church,Eposicpilian Church,Unknown,Unknown,Unknown,Unknown
Wesleyan Methost,Wesleyan Methost,Unknown,Unknown,Unknown,Unknown
Church Engling,Church Engling,Unknown,Unknown,Unknown,Unknown
Plymouth Brethrin,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Presbytriand,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Meth C,Meth C,Unknown,Unknown,Unknown,Unknown
Cath Church R,Cath Church R,Unknown,Unknown,Unknown,Unknown
R N Catholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catherli,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisptiren,Prisptiren,Unknown,Unknown,Unknown,Unknown
Christin Bretheren,Christin Bretheren,Unknown,Unknown,Unknown,Unknown
Prespertarien,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prebstyn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathloist,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathwel,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
V P Church,V P Church,Unknown,Unknown,Unknown,Unknown
Roman Cathiloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathelick Roman,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Fair Scholer,Irish Church Fair Scholer,Unknown,Unknown,Unknown,Unknown
Roman Ct,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Beark by St Church,R Catholic Beark by St Church,Unknown,Unknown,Unknown,Unknown
Presbyterian Denomination,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prresbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methodists Crumlin Rd Church,Methodists Crumlin Rd Church,Unknown,Unknown,Unknown,Unknown
Cattoisc,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irishtown,Irishtown,Unknown,Unknown,Unknown,Unknown
Catohlolic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Church of Irld,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roam? Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Co of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbergtian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Catholil,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Non Sub Presbyter,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
House God,House God,Unknown,Unknown,Unknown,Unknown
Second Islangmagee Presbytrian,Second Islangmagee Presbytrian,Unknown,Unknown,Unknown,Unknown
Presptairan,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Preysberian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christian Religion No Denomination,Christian Religion No Denomination,Unknown,Unknown,Unknown,Unknown
Metholls Church,Metholls Church,Unknown,Unknown,Unknown,Unknown
R Cathloth,R Cathloth,Unknown,Unknown,Unknown,Unknown
Roman R Cathlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Brespterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterrian Secession Church,Presbyterrian Secession Church,Unknown,Unknown,Unknown,Unknown
Roman Catholic and Twins,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian General Assembly Presbyterian,Presbyterian General Assembly Presbyterian,Unknown,Unknown,Unknown,Unknown
Prisbyterian Curch,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Ch of Irela,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R C St Pauls,R C St Pauls,Unknown,Unknown,Unknown,Unknown
Methoist Wesleyan,Methodist,Christianity,Protestant,Trinitarian,Connexional
Roman Chtolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ro Catcholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Not Come to Years of Understanding,Not Come to Years of Understanding,Unknown,Unknown,Unknown,Unknown
Information Refused I S,Information Refused I S,Unknown,Unknown,Unknown,Unknown
Wesleyan Method,Wesleyan Method,Unknown,Unknown,Unknown,Unknown
Prespytrean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rom Cathrolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Esp Church,Esp Church,Unknown,Unknown,Unknown,Unknown
C I St Pauls,C I St Pauls,Unknown,Unknown,Unknown,Unknown
Prodeston Episco,Prodeston Episco,Unknown,Unknown,Unknown,Unknown
Seventh Day Adventest,Seventh-day Adventist,Christianity,Protestant,Trinitarian,Presbyterian
Plymouth Brethren So Called,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Roman Chaloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romann Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catr,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
E C Scotland,E C Scotland,Unknown,Unknown,Unknown,Unknown
Roman Cathrelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cattholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presphyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rector Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Protestant Episopelian,Protestant Episopelian,Unknown,Unknown,Unknown,Unknown
House of God,House of God,Unknown,Unknown,Unknown,Unknown
United Free Presbytirian Church of Scotland,United Free Presbytirian Church of Scotland,Unknown,Unknown,Unknown,Unknown
Protestant Lately Established Church,Protestant Lately Established Church,Unknown,Unknown,Unknown,Unknown
Chu England,Chu England,Unknown,Unknown,Unknown,Unknown
Church of Ireland St Peters Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
St Bridgts R C,St Bridgts R C,Unknown,Unknown,Unknown,Unknown
Ch of Engld,Ch of Engld,Unknown,Unknown,Unknown,Unknown
Furthur Information Refused,Furthur Information Refused,Unknown,Unknown,Unknown,Unknown
Catholoice,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Eapiscopalian,Eapiscopalian,Unknown,Unknown,Unknown,Unknown
Catholicate,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chathorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cotholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catcholics,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Catholic C,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roham Cathoic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathochic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Socty Friends,Socty Friends,Unknown,Unknown,Unknown,Unknown
Reformed Presbyterian Ch,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methioths Church,Methioths Church,Unknown,Unknown,Unknown,Unknown
Presbterranian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Prestpertain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Holy Rn Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
No Particular Church and C,No Particular Church and C,Unknown,Unknown,Unknown,Unknown
Brethren (So Called),Brethren (So Called),Unknown,Unknown,Unknown,Unknown
Roman Cathlocl,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Meth Church,Meth Church,Unknown,Unknown,Unknown,Unknown
Church of Irild,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Peters Church,Peters Church,Unknown,Unknown,Unknown,Unknown
Roman Catlolc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cattolick,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catliocate,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Eg,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
C of I Episcopalian,C of I Episcopalian,Unknown,Unknown,Unknown,Unknown
Presbtiryan,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roamn Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Chaotlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbeterain Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Catholic Rgn,Catholic,Christianity,Catholic,Trinitarian,Episcopal
W Methodes,Methodist,Christianity,Protestant,Trinitarian,Connexional
Prespetryian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methewdist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Bapbtist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Dutch Reformed,Dutch Reformed,Unknown,Unknown,Unknown,Unknown
Roman Cathlolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Church of E,Protestant Church of E,Unknown,Unknown,Unknown,Unknown
Mem Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian Raloo Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant and Episcopalian Church of Ireland,Protestant and Episcopalian Church of Ireland,Unknown,Unknown,Unknown,Unknown
Kathlic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
English Anglican Church,English Anglican Church,Unknown,Unknown,Unknown,Unknown
Prestperian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Established Church of Scotland Scotch Presbyterian,Established Church of Scotland Scotch Presbyterian,Unknown,Unknown,Unknown,Unknown
Romon Cathlo,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
E C Protestant,E C Protestant,Unknown,Unknown,Unknown,Unknown
Christian Meet with Brethren,Christian Meet with Brethren,Unknown,Unknown,Unknown,Unknown
Holey Roam Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ronan Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christian Bretin,Christian Scientist,Christianity,Restorationist,Nontrinitarian,Congregational
Premitive Methodists,Methodist,Christianity,Protestant,Trinitarian,Connexional
Catlock,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Ir Church Episcopalian,Protestant Ir Church Episcopalian,Unknown,Unknown,Unknown,Unknown
Roman Cathoch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Pyrsberterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Chathois,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
St Matthews R C Chu,St Matthews R C Chu,Unknown,Unknown,Unknown,Unknown
Presberytarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Felloship of Gods Son,Felloship of Gods Son,Unknown,Unknown,Unknown,Unknown
Psbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholicel,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Relg,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congretionelist,Congretionelist,Unknown,Unknown,Unknown,Unknown
Preppterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbteran Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Maravian,Maravian,Unknown,Unknown,Unknown,Unknown
Roman Cathy,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Engnd,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rom Catchlioc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic St Finn Barrs Chapel,R Catholic St Finn Barrs Chapel,Unknown,Unknown,Unknown,Unknown
Greeck Catholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christian Not any Particular Denomination,Christian Not any Particular Denomination,Unknown,Unknown,Unknown,Unknown
Romen Cathlica,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian United Presbyterian,Presbyterian United Presbyterian,Unknown,Unknown,Unknown,Unknown
Presbyterian Episcopalian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Unatarian Church,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Refused Begin an Brethern,Refused Begin an Brethern,Unknown,Unknown,Unknown,Unknown
Protestent Episcopplin,Protestent Episcopplin,Unknown,Unknown,Unknown,Unknown
Church or Ireland Episcopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbtterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathtolic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christian Belonging to Plymouth Brethren,Christian Belonging to Plymouth Brethren,Unknown,Unknown,Unknown,Unknown
Pesbyterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespearn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christ Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Roman Catholo Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prodsar Church Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rroman Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathk,R Cathk,Unknown,Unknown,Unknown,Unknown
Methidoust,Methodist,Christianity,Protestant,Trinitarian,Connexional
Lutheren,Lutheran,Christianity,Protestant,Trinitarian,Episcopal
Presbytrein,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterian High Kirk,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant and Episcopalian,Protestant and Episcopalian,Unknown,Unknown,Unknown,Unknown
Rom Cathlioc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbertirean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Baptist Attendant,Baptist Attendant,Unknown,Unknown,Unknown,Unknown
Prebesterran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Mullarilly Church,Mullarilly Church,Unknown,Unknown,Unknown,Unknown
Persbterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant (Ir Church),Protestant (Ir Church),Unknown,Unknown,Unknown,Unknown
Roman Caithic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbetyren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rroman Catholik,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
True blue Protestant,True blue Protestant,Unknown,Unknown,Unknown,Unknown
Presptiran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methiodist Church,Methodist,Christianity,Protestant,Trinitarian,Connexional
Information Refused Merrian Hall,Information Refused Merrian Hall,Unknown,Unknown,Unknown,Unknown
R Church of England,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbetyn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
