name,gender,NI_AppRank
CANDICE,F,rare
CANICE,M,rare
CAODHAN,M,uncommon
CAOILAINN,F,rare
CAOILFHIONN,F,rare
CAOILTE,M,rare
CAOIMHE,F,basic
CAOIMHIN,M,basic
CAOIMHLIN,F,rare
CAOLA,F,rare
CAOLAIN,M,rare
CAOLAN,M,basic
CAOLIN,M,rare
CAOMHAN,M,common
CAPRICE,F,rare
CARA,F,basic
CARAGH,F,basic
CARIS,F,rare
CARL,M,common
CARLA,F,basic
CARLEY,F,rare
CARLIE,F,rare
CARLO,M,rare
CARLOS,M,rare
CARLY,F,basic
CARMEL,F,rare
CARMEN,F,rare
CAROL,F,rare
CAROLINE,F,common
CAROLYN,F,rare
CARRAGH,F,uncommon
CARRAIG,M,rare
CARRIE,F,common
CARSON,M,common
CARTER,M,basic
CARYS,F,common
CASEY,M,common
CASEY,F,basic
CASIE,F,rare
CASPER,M,rare
CASSANDRA,F,rare
CASSIDY,F,rare
CASSIE,F,basic
CATE,F,rare
CATELYN,F,rare
CATHAIN,M,rare
CATHAIR,M,basic
CATHAL,M,basic
CATHAN,M,uncommon
CATHAOIR,M,common
CATHERINE,F,basic
CATHRYN,F,rare
CATHY,F,rare
CATRINA,F,rare
CATRIONA,F,uncommon
CAYDEN,M,uncommon
CAYLA,F,uncommon
CEALLACH,F,rare
CEARA,F,rare
CEILI,F,rare
CEIN,M,rare
CELINE,F,rare
CERYS,F,common
CHAD,M,rare
CHANELLE,F,uncommon
CHANTEL,F,rare
CHANTELLE,F,common
CHARDONNAY,F,rare
CHARIS,F,common
CHARLEE,F,rare
CHARLENE,F,uncommon
CHARLES,M,basic
CHARLEY,M,uncommon
CHARLEY,F,basic
CHARLI,F,rare
CHARLIE,M,basic
CHARLIE,F,basic
CHARLIZE,F,rare
CHARLOTTE,F,basic
CHARLY,M,rare
CHARLY,F,rare
CHARMAINE,F,rare
CHASE,M,rare
CHE,M,basic
CHELSEA,F,basic
CHELSEY,F,common
CHELSIE,F,rare
CHELSY,F,rare
CHERIE,F,rare
CHERITH,F,rare
CHEYANNE,F,rare
CHEYENNE,F,rare
CHLOE,F,basic
CHOLE,F,rare
CHRIS,M,uncommon
CHRISTIAN,M,basic
CHRISTIE,M,rare
CHRISTINA,F,basic
CHRISTINE,F,common
CHRISTOPHER,M,basic
CHRISTY,M,uncommon
CIAN,M,basic
CIANAN,M,uncommon
CIANNA,F,rare
CIARA,F,basic
CIARAN,M,basic
CIARNAN,M,uncommon
CIARON,M,rare
CIARRAI,F,common
CIEARA,F,rare
CILLIAN,M,basic
CINDY,F,rare
CLAIRE,F,basic
CLARA,F,basic
CLARAGH,F,rare
CLARE,F,basic
CLARISSA,F,rare
CLARK,M,rare
CLARKE,M,uncommon
CLAUDIA,F,basic
CLAUDINE,F,rare
CLAYTON,M,rare
CLEO,F,rare
CLIFFORD,M,rare
CLIODHNA,F,basic
CLIONA,F,basic
CLODAGH,F,basic
COBHLAITH,F,rare
COBY,M,uncommon
CODEY,M,rare
CODI,M,rare
CODI,F,rare
CODIE,M,uncommon
CODIE,F,common
CODY,M,basic
CODY,F,uncommon
COEN,M,rare
COHAN,M,rare
COHEN,M,common
COIST,M,rare
COLBY,M,rare
COLE,M,common
COLEEN,F,rare
COLIN,M,basic
COLLEEN,F,basic
COLLETTE,F,rare
COLM,M,basic
COLTON,M,rare
COLUM,M,uncommon
CONAILL,M,rare
CONAIRE,M,rare
CONAL,M,basic
CONALL,M,basic
CONAN,M,basic
CONCHOR,M,rare
CONCHUR,M,uncommon
CONLAN,M,rare
CONLETH,M,common
CONN,M,common
CONNAIRE,M,rare
CONNALL,M,rare
CONNELL,M,rare
CONNIE,F,basic
CONNLA,M,rare
CONNLAODH,M,rare
CONNLAOTH,M,rare
CONNOR,M,basic
CONOR,M,basic
CONRAD,M,common
CONSTANCE,F,rare
COOPER,M,uncommon
CORA,F,basic
CORAGH,F,rare
CORAN,M,uncommon
CORBIN,M,rare
CORBYN,M,rare
COREY,M,basic
CORI,M,rare
CORIN,M,uncommon
CORINA,F,rare
CORINNE,F,rare
CORMAC,M,basic
CORRAN,M,rare
CORRIE,M,uncommon
CORRIE,F,rare
CORRINA,F,rare
CORTNEY,F,rare
CORY,M,basic
COURTENEY,F,rare
COURTNEY,F,basic
CRAIG,M,basic
CRIOSTOIR,M,rare
CRISTIAN,M,rare
CRISTIN,F,rare
CRUZ,M,uncommon
CRYSTAL,F,uncommon
CUAN,M,uncommon
CUISLE,F,rare
CULANN,M,rare
CURTIS,M,basic
DAIBHIN,M,rare
DAIMHIN,M,rare
DAIRE,M,basic
DAIRE,F,rare
DAIRINE,F,rare
DAISY,F,basic
DAITHI,M,common
DAKOTA,F,common
DALE,M,common
DALEY,M,rare
DALLAN,M,rare
DALTON,M,rare
DAMHAN,M,rare
DAMIAN,M,common
DAMIEN,M,basic
DAMON,M,rare
DAN,M,common
DANA,F,rare
DANANN,M,rare
DANAS,M,rare
DANE,M,rare
DANI,F,rare
DANICA,F,rare
DANIEL,M,basic
DANIELA,F,rare
DANIELE,F,rare
DANIELIS,M,rare
DANIELIUS,M,rare
DANIELLA,F,uncommon
DANIELLE,F,basic
DANIKA,F,rare
DANNI,F,uncommon
DANNY,M,basic
DANTE,M,rare
DANYL,M,rare
DARA,M,basic
DARA,F,common
DARACH,M,rare
DARAGH,M,common
DARCEY,F,common
DARCI,F,uncommon
DARCIE,F,common
DARCY,M,rare
DARCY,F,basic
DARIA,F,rare
DARIUS,M,rare
DARLA,F,rare
DARRA,M,rare
DARRAGH,M,basic
DARRAGH,F,rare
DARRELL,M,rare
DARREN,M,basic
DARRYL,M,common
DARYL,M,common
DAVID,M,basic
DAVIN,M,rare
DAVINA,F,rare
DAWID,M,uncommon
DAWN,F,rare
DAWSON,M,common
DAYNA,F,rare
DEACON,M,rare
DEAGLAN,M,common
DEAN,M,basic
DEANE,M,rare
DEARBHAIL,F,uncommon
DEARBHAILE,F,uncommon
DEARBHLA,F,basic
DEBBIE,F,rare
DEBORAH,F,common
DECLAN,M,basic
DEIRBHILE,F,common
DELILAH,F,rare
DELPHINE,F,rare
DEMI,F,basic
DENIS,M,common
DENISE,F,uncommon
DENNIS,M,rare
DENVER,M,uncommon
DENZEL,M,rare
DEON,M,rare
DEREK,M,rare
DERMOT,M,common
DERVLA,F,common
DESIREE,F,rare
DESMOND,M,uncommon
DESTINY,F,rare
DEVIN,M,rare
DEVON,M,uncommon
DEVON,F,rare
DEXTER,M,uncommon
DIANA,F,rare
DIANE,F,rare
DIARMAID,M,rare
DIARMUID,M,basic
DIEGO,M,rare
DILLAN,M,rare
DILLON,M,basic
DIOGO,M,rare
DION,M,uncommon
DION,F,rare
DIONNE,F,uncommon
DIYAR,M,rare
DOMAS,M,rare
DOMHNALL,M,rare
DOMINIC,M,basic
DOMINIK,M,common
DOMINIKA,F,rare
DOMINYKAS,M,uncommon
DON,M,rare
DONAL,M,basic
DONNA,F,rare
DONNACH,M,rare
DONNACHA,M,uncommon
DONNCHA,M,uncommon
DONNCHADH,M,rare
DONOVAN,M,rare
DORIAN,M,rare
DOUGLAS,M,rare
DOVYDAS,M,rare
DREW,M,basic
DREW,F,rare
DUALTA,M,rare
DUBHALTACH,M,rare
DUNCAN,M,rare
DYLAN,M,basic
DYLON,M,rare
EABHA,F,common
EADAOIN,F,basic
EAMON,M,basic
EAMONN,M,basic
EATHAN,M,rare
EBEN,M,rare
EBONY,F,basic
EDDIE,M,uncommon
EDEL,F,uncommon
EDEN,M,rare
EDEN,F,basic
EDIE,F,uncommon
EDITH,F,rare
EDMUND,M,rare
EDUARD,M,rare
EDWARD,M,basic
EDWIN,M,rare
EFFIE,F,rare
EIBHLEANN,F,rare
EIBHLIN,F,uncommon
EILE,F,rare
EILEEN,F,common
EILIDH,F,uncommon
EILIS,F,common
EILISE,F,rare
EILISH,F,uncommon
EIMANTAS,M,rare
EIMEAR,F,basic
EIMER,F,uncommon
EIMHEAR,F,basic
EIMILE,F,rare
EININ,F,rare
EIRE,F,rare
EIREANN,F,basic
EIRINN,F,common
ELA,F,rare
ELAINE,F,rare
ELANA,F,rare
ELAYNA,F,rare
ELEANOR,F,basic
ELENA,F,common
ELI,M,common
ELIANA,F,rare
ELIANNA,F,rare
ELIAS,M,rare
ELIJA,F,rare
ELIJAH,M,common
ELIN,F,rare
ELINOR,F,rare
ELISE,F,basic
ELISHA,F,basic
ELIZA,F,common
ELIZABETH,F,basic
ELLA,F,basic
ELLE,F,basic
ELLEN,F,basic
ELLIE,F,basic
ELLIOT,M,common
ELLIOTT,M,basic
ELLIS,M,common
ELLIS,F,rare
ELOISE,F,basic
ELSA,F,uncommon
ELSIE,F,uncommon
ELYSE,F,rare
EMA,F,uncommon
EMELI,F,rare
EMELIA,F,uncommon
EMELIE,F,rare
EMER,F,basic
EMIL,M,rare
EMILEE,F,uncommon
EMILIA,F,common
EMILIE,F,common
EMILIJA,F,uncommon
EMILIS,M,rare
EMILY,F,basic
EMMA,F,basic
EMMANUEL,M,rare
EMME,F,uncommon
EMMELINE,F,rare
EMMET,M,basic
EMMETT,M,basic
EMMIE,F,uncommon
EMMY,F,rare
ENDA,M,basic
ENNA,F,rare
ENYA,F,basic
ENZO,M,rare
EOGHAIN,M,rare
EOGHAN,M,basic
EOIN,M,basic
EOLANN,M,rare
ERIC,M,common
ERICA,F,common
ERIK,M,rare
ERIKA,F,common
ERIKAS,M,rare
ERIN,F,basic
ERINN,F,common
ERYK,M,rare
ERYN,F,uncommon
ESMAE,F,rare
ESME,F,uncommon
ESMEE,F,rare
ESTHER,F,basic
ETAIN,F,rare
ETHAN,M,basic
EUAN,M,basic
EUGENE,M,common
EUNAN,M,basic
EVA,F,basic
EVAN,M,basic
EVANGELINE,F,rare
EVANNA,F,rare
EVE,F,basic
EVELINA,F,rare
EVELYN,F,common
EVIE,F,basic
EWA,F,rare
EWAN,M,basic
EZRA,M,rare
FABIAN,M,uncommon
FAE,F,rare
FAINCHE,F,rare
FAITH,F,basic
FAOLAN,M,uncommon
FARAH,F,uncommon
FARRAH,F,common
FATIMA,F,rare
FAY,F,rare
FAYE,F,basic
FEARGAL,M,rare
FEARGHAL,M,common
FEIDHLIM,M,rare
FELICITY,F,uncommon
FELIX,M,common
FERGAL,M,common
FERGUS,M,common
FIA,F,uncommon
FIACHRA,M,common
FIADH,F,uncommon
FIANNA,F,common
FILIP,M,uncommon
FINBAR,M,uncommon
FINBARR,M,rare
FINIAN,M,rare
FINLAY,M,common
FINLAY,F,rare
FINLEY,M,common
FINN,M,basic
FINNEN,M,rare
FINNIAN,M,rare
FINTAN,M,basic
FIONA,F,basic
FIONAN,M,rare
FIONN,M,basic
FIONNAN,M,uncommon
FIONNBHARR,M,rare
FIONNTAN,M,basic
FIONNUALA,F,common
FIONTAN,M,uncommon
FLETCHER,M,rare
FLORENCE,F,uncommon
FLORIE,F,rare
FLYNN,M,common
FRANCES,F,uncommon
FRANCESCA,F,basic
FRANCIS,M,basic
FRANCISCO,M,rare
FRANCISZEK,M,uncommon
FRANK,M,common
FRANKIE,M,common
FRANKIE,F,rare
FRANKLIN,M,rare
FRASER,M,common
FRAZER,M,common
FRED,M,rare
FREDDIE,M,common
FREDDY,M,rare
FREDERICK,M,common
FREYA,F,common
FREYJA,F,rare
FYNN,M,rare
GABIJA,F,rare
GABRIEL,M,basic
GABRIELA,F,common
GABRIELE,F,uncommon
GABRIELLA,F,common
GABRIELLE,F,basic
GARBHAN,M,rare
GARETH,M,basic
GARRETT,M,rare
GARRY,M,rare
GARTH,M,rare
GARY,M,basic
GAVIN,M,common
GEAROID,M,uncommon
GEMMA,F,basic
GENEVIEVE,F,rare
GEOFFREY,M,rare
GEORGE,M,basic
GEORGIA,F,basic
GEORGIE,F,uncommon
GEORGINA,F,common
GER,M,rare
GERALD,M,uncommon
GERALDINE,F,uncommon
GERARD,M,basic
GERI,F,rare
GERRY,M,rare
GETHIN,M,rare
GIANNA,F,rare
GILES,M,rare
GILLIAN,F,uncommon
GINA,F,rare
GINO,M,rare
GIOVANNI,M,rare
GLEN,M,common
GLENN,M,common
GLYN,M,rare
GODA,F,rare
GORDON,M,rare
GRACE,F,basic
GRACIE,F,common
GRAEME,M,rare
GRAHAM,M,uncommon
GRAINNE,F,basic
GRANT,M,uncommon
GRAYSON,M,rare
GREG,M,rare
GREGOR,M,rare
GREGORY,M,uncommon
GRETA,F,rare
GUSTAS,M,rare
GUY,M,rare
HAILEY,F,uncommon
HAILIE,F,rare
HALEY,F,uncommon
HALLE,F,common
HALLIE,F,uncommon
HAMISH,M,rare
HANA,F,rare
HANNA,F,common
HANNAH,F,basic
HARLEY,M,common
HARLEY,F,uncommon
HARMONY,F,rare
HARPER,M,rare
HARPER,F,rare
HARRI,M,rare
HARRIET,F,common
HARRIS,M,uncommon
HARRISON,M,basic
HARRY,M,basic
HARVEY,M,basic
HASSAN,M,rare
HAYDEN,M,common
HAYDEN,F,rare
HAYDN,M,rare
HAYLEIGH,F,rare
HAYLEY,F,basic
HAZEL,F,rare
HEATH,M,rare
HEATHER,F,common
HEIDI,F,basic
HELEN,F,common
HELENA,F,common
HENRI,M,rare
HENRY,M,basic
HOLLIE,F,basic
HOLLY,F,basic
HONEY,F,rare
HONOR,F,uncommon
HOPE,F,basic
HUBERT,M,rare
HUDSON,M,rare
HUGH,M,basic
HUGHIE,M,rare
HUGO,M,common
HUNTER,M,uncommon
IAIN,M,uncommon
IAN,M,common
IARLA,M,rare
IARLAITH,M,rare
IBRAHIM,M,rare
IDA,F,rare
IDRIS,M,rare
IEUAN,M,rare
IEVA,F,rare
IGOR,M,uncommon
IMAN,F,rare
IMOGEN,F,basic
INDI,F,rare
INDIA,F,common
INDIE,F,rare
IONA,F,basic
IRIS,F,rare
ISAAC,M,basic
ISABEL,F,common
ISABELLA,F,basic
ISABELLE,F,common
ISAIAH,M,rare
ISIBEAL,F,rare
ISLA,F,common
ISOBEL,F,common
ISOBELLA,F,rare
ISOBELLE,F,rare
ISSAC,M,rare
IVAN,M,rare
IVO,M,rare
IVY,F,uncommon
IZAAC,M,rare
IZABELLA,F,rare
IZZY,F,rare
JAC,M,rare
JACE,M,rare
JACINTA,F,rare
JACK,M,basic
JACKIE,M,rare
JACKSON,M,basic
JACKY,M,rare
JACOB,M,basic
JACQUELINE,F,uncommon
JACQUES,M,rare
JADA,F,rare
JADE,F,basic
JADEN,M,uncommon
JADEN,F,rare
JAGODA,F,rare
JAI,M,uncommon
JAIDEN,M,uncommon
JAIME,M,rare
JAIME,F,rare
JAIMIE,M,rare
JAK,M,rare
JAKE,M,basic
JAKOB,M,uncommon
JAKUB,M,common
JAMES,M,basic
JAMIE,M,basic
JAMIE,F,common
JAN,M,uncommon
JANA,F,rare
JANE,F,basic
JANET,F,rare
JANICE,F,rare
JANINE,F,rare
JARED,M,uncommon
JARLATH,M,common
JASMIN,F,common
JASMINE,F,basic
JASON,M,basic
JASPER,M,rare
JAX,M,rare
JAXON,M,uncommon
JAXSON,M,uncommon
JAXX,M,rare
JAY,M,basic
