name,gender,NI_appFrac,NI_avgVal,SC_appFrac,SC_avgVal,EW_appFrac,EW_avgVal,UK_appFrac,UK_avgVal
IRZHAHIDIN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISA,F,0.0,0.0,0.214,1.11,0.533,4.44,0.249,1.85
ISA,M,0.0,0.0,0.357,2.07,0.633,87.53,0.33,29.867
ISAA,M,0.0,0.0,0.048,1.0,0.267,4.75,0.105,1.917
ISAAC,M,1.0,38.58,0.952,25.85,0.633,1502.26,0.862,522.23
ISAAH,M,0.0,0.0,0.048,1.0,0.067,3.5,0.038,1.5
ISAAK,M,0.0,0.0,0.095,1.25,0.633,12.37,0.243,4.54
ISAAM,M,0.0,0.0,0.048,1.0,0.467,6.5,0.172,2.5
ISAAN,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISAAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISAAQ,M,0.0,0.0,0.0,0.0,0.5,6.2,0.167,2.067
ISABEAU,F,0.0,0.0,0.0,0.0,0.267,4.25,0.089,1.417
ISABEL,F,0.632,5.33,0.976,9.12,0.667,877.0,0.758,297.15
ISABELA,F,0.0,0.0,0.143,1.17,0.6,16.39,0.248,5.853
ISABELE,F,0.0,0.0,0.0,0.0,0.067,4.0,0.022,1.333
ISABELL,F,0.0,0.0,0.429,1.06,0.633,28.42,0.354,9.827
ISABELLA,F,0.895,40.41,0.952,34.9,0.733,1972.4,0.86,682.57
ISABELLAH,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISABELLANN,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISABELLE,F,0.684,10.46,0.857,7.81,0.667,1676.6,0.736,564.957
ISABIRYE,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISAC,M,0.0,0.0,0.071,1.67,0.333,6.5,0.135,2.723
ISACC,M,0.0,0.0,0.0,0.0,0.067,6.0,0.022,2.0
ISADORA,F,0.0,0.0,0.071,1.0,0.667,16.9,0.246,5.967
ISAEAH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISAH,M,0.0,0.0,0.048,1.0,0.367,4.36,0.138,1.787
ISAHAK,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISAHAQ,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISAIA,M,0.0,0.0,0.0,0.0,0.067,4.5,0.022,1.5
ISAIAH,M,0.105,4.0,0.238,2.1,0.633,98.47,0.325,34.857
ISAIAS,M,0.0,0.0,0.0,0.0,0.033,4.0,0.011,1.333
ISAK,M,0.0,0.0,0.143,1.33,0.533,5.75,0.225,2.36
ISAM,M,0.0,0.0,0.119,1.0,0.567,6.35,0.229,2.45
ISAMBARD,M,0.0,0.0,0.0,0.0,0.167,3.4,0.056,1.133
ISAQ,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISAQUE,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISARAH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISATA,F,0.0,0.0,0.0,0.0,0.167,3.2,0.056,1.067
ISATOU,F,0.0,0.0,0.048,1.0,0.6,7.39,0.216,2.797
ISATU,F,0.0,0.0,0.0,0.0,0.167,3.6,0.056,1.2
ISAURA,F,0.0,0.0,0.048,1.0,0.033,3.0,0.027,1.333
ISAVELA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISBAH,F,0.0,0.0,0.0,0.0,0.3,4.22,0.1,1.407
ISBEAL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISCAH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
