name,gender,CN_AppRank,IRE1901_AppRank,IRE1911_AppRank,EW_AppRank,SC_AppRank,NI_AppRank,UK_AppRank,USA_AppRank,isBCenter,isBWizard,isBNames,origin,Total_AppRank
RAMEEZ,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMEL,M,rare,rare,unused,uncommon,unused,unused,rare,uncommon,1.0,0.0,0.0,,rare
RAMESH,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,1.0,Indian,rare
RAMEY,M,rare,unused,unused,rare,unused,unused,unused,uncommon,1.0,0.0,0.0,German,rare
RAMEZ,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMI,M,uncommon,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,1.0,0.0,German,rare
RAMIE,F,rare,unused,unused,unused,rare,unused,unused,uncommon,1.0,0.0,0.0,,rare
RAMIN,M,uncommon,unused,unused,uncommon,rare,unused,rare,uncommon,1.0,1.0,0.0,,rare
RAMIRO,M,rare,unused,unused,rare,rare,unused,rare,common,1.0,1.0,1.0,Romance,rare
RAMIS,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMISA,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMIZ,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
RAMLA,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,1.0,African,rare
RAMLAH,F,rare,unused,unused,uncommon,rare,unused,rare,rare,0.0,0.0,1.0,Arabic,rare
RAMON,M,uncommon,uncommon,rare,common,uncommon,unused,uncommon,basic,1.0,1.0,1.0,Romance,uncommon
RAMONA,F,basic,unused,rare,common,uncommon,unused,uncommon,basic,1.0,1.0,1.0,Romance,uncommon
RAMONE,M,rare,unused,unused,common,rare,unused,rare,uncommon,1.0,1.0,0.0,,rare
RAMONE,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMSAY,M,rare,uncommon,common,uncommon,basic,unused,uncommon,uncommon,1.0,1.0,1.0,English,uncommon
RAMSEY,F,unused,rare,uncommon,unused,unused,unused,unused,uncommon,1.0,0.0,0.0,,rare
RAMSEY,M,uncommon,uncommon,common,common,uncommon,unused,uncommon,common,1.0,1.0,1.0,English,uncommon
RAMSHA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAMY,M,uncommon,unused,unused,uncommon,rare,unused,rare,uncommon,1.0,1.0,0.0,,rare
RAMYA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,Indian,rare
RAMZAN,M,unused,unused,unused,uncommon,rare,unused,rare,unused,1.0,0.0,0.0,,rare
RAMZI,M,rare,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,1.0,0.0,Arabic,rare
RAMZY,M,rare,unused,unused,rare,rare,unused,rare,uncommon,1.0,0.0,0.0,,rare
RAN,F,rare,unused,rare,unused,rare,unused,unused,rare,1.0,0.0,1.0,Japanese,rare
RAN,M,rare,rare,rare,unused,rare,unused,unused,rare,1.0,0.0,0.0,,rare
RANA,M,rare,unused,unused,common,common,unused,uncommon,rare,1.0,0.0,0.0,,rare
RANA,F,uncommon,unused,unused,common,common,unused,uncommon,common,1.0,1.0,1.0,Arabic,uncommon
RANAE,F,rare,unused,unused,rare,unused,unused,unused,common,1.0,0.0,0.0,,rare
RANALD,M,rare,unused,unused,unused,common,unused,rare,rare,1.0,0.0,1.0,Celtic,rare
RANBIR,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
RANCE,M,rare,unused,unused,unused,rare,unused,unused,common,1.0,1.0,0.0,French,rare
RAND,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RAND,M,uncommon,unused,unused,rare,rare,unused,rare,common,1.0,1.0,0.0,,rare
RANDA,F,uncommon,unused,unused,uncommon,rare,unused,rare,common,1.0,0.0,1.0,Arabic,rare
RANDAL,M,basic,basic,basic,rare,rare,unused,rare,common,1.0,1.0,1.0,English,uncommon
RANDALL,M,basic,common,basic,uncommon,rare,unused,rare,basic,1.0,1.0,1.0,German,uncommon
RANDEE,F,rare,unused,unused,unused,unused,unused,unused,common,1.0,1.0,0.0,,rare
RANDEL,M,rare,common,common,unused,unused,unused,unused,common,1.0,1.0,1.0,English,rare
RANDELL,M,common,rare,unused,rare,unused,unused,unused,common,1.0,1.0,1.0,English,rare
RANDI,F,basic,unused,unused,unused,unused,unused,unused,common,1.0,1.0,0.0,,rare
RANDIE,F,rare,unused,unused,unused,unused,unused,unused,common,1.0,0.0,0.0,English,rare
RANDLE,M,rare,basic,common,unused,unused,unused,unused,common,1.0,1.0,0.0,,rare
RANDOLF,M,common,rare,unused,unused,unused,unused,unused,uncommon,1.0,1.0,1.0,German,rare
RANDOLPH,M,basic,basic,common,rare,rare,unused,rare,basic,1.0,1.0,1.0,English,uncommon
RANDON,M,rare,unused,unused,unused,unused,unused,unused,common,1.0,0.0,0.0,,rare
RANDY,F,uncommon,unused,unused,unused,unused,unused,unused,common,1.0,1.0,0.0,German,rare
RANDY,M,basic,unused,unused,common,rare,unused,rare,common,1.0,1.0,0.0,English,uncommon
RANEE,F,rare,unused,unused,rare,rare,unused,rare,uncommon,0.0,1.0,0.0,,rare
RANEEM,F,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RANI,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RANI,F,rare,unused,unused,common,rare,unused,rare,uncommon,1.0,1.0,0.0,Indian,rare
RANIA,F,uncommon,unused,unused,common,common,unused,uncommon,uncommon,1.0,1.0,0.0,,uncommon
RANIYA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,1.0,Arabic,rare
RANIYAH,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
RANJEET,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,1.0,Indian,rare
RANJIT,M,uncommon,unused,unused,rare,rare,unused,rare,rare,0.0,1.0,1.0,Indian,rare
RANKIN,M,rare,common,common,unused,rare,unused,unused,uncommon,1.0,0.0,0.0,,rare
