name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
DENEAH,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEAKA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEALE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEANE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEB,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENECA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEEKA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEEN,F,0.115,1.0,0.01,18.0,0.01,20.0,0.045,13.0
DENEESA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEIGE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEIKA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEILE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEILLE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEIR,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEJA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEKA,F,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
DENEKQUA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELDA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELL,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELLE,F,0.192,1.8,0.0,0.0,0.0,0.0,0.064,0.6
DENELLI,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELLIE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENELYS,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEM,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENENE,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENERIAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENERIO,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENES,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENESH,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENESHA,F,0.115,1.33,0.0,0.0,0.0,0.0,0.038,0.443
DENESITY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENESSA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENETHOR,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENETTE,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEVE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENEYA,F,0.077,1.5,0.0,0.0,0.0,0.0,0.026,0.5
DENG,M,0.654,3.12,0.0,0.0,0.0,0.0,0.218,1.04
DENG,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENHAM,M,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
DENHOLM,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENI,M,0.115,1.67,0.0,0.0,0.01,5.0,0.042,2.223
DENI,F,0.192,1.0,0.0,0.0,0.0,0.0,0.064,0.333
DENICA,F,0.231,1.0,0.0,0.0,0.01,5.0,0.08,2.0
DENICCI,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENICE,F,0.077,1.0,0.02,7.0,0.01,5.0,0.036,4.333
DENICIA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENIEA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIEL,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENIELA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIELL,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIELLA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIELLE,F,0.231,1.0,0.0,0.0,0.0,0.0,0.077,0.333
DENIESHA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIK,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIKA,F,0.654,1.18,0.0,0.0,0.0,0.0,0.218,0.393
DENIKAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENILSON,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENILYAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIM,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENIM,M,0.346,1.56,0.0,0.0,0.0,0.0,0.115,0.52
DENIN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENINA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENINE,F,0.115,1.33,0.0,0.0,0.01,5.0,0.042,2.11
DENIQUE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENIS,M,0.923,2.96,0.65,10.8,0.01,13.0,0.528,8.92
DENISA,F,0.154,1.0,0.0,0.0,0.0,0.0,0.051,0.333
DENISE,F,0.923,5.21,0.67,44.28,0.01,5.0,0.534,18.163
DENISHA,F,0.346,1.44,0.0,0.0,0.01,6.0,0.119,2.48
DENISHEA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENISHIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENISHINA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENISIA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENISITY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
