name,gender,AB_avgVal,BC_avgVal,OT_avgVal,CN_avgVal,NI_avgVal,SC_avgVal,EW_avgVal,UK_avgVal,13_avgVal,BS_avgVal,FS_avgVal,PC_avgVal,TE_avgVal,USA_avgVal,VR_avgVal
FABRICIO,M,1.0,0.0,0.0,0.333,0.0,1.0,4.0,1.667,5.17,10.0,5.5,6.75,6.56,22.62,0.0
FABRIZIO,M,2.0,0.0,11.0,4.333,0.0,1.0,5.13,2.043,5.75,0.0,0.0,9.44,8.34,21.14,0.0
FAE,F,1.25,0.0,0.0,0.417,3.0,1.0,10.1,4.7,8.03,5.36,6.44,5.0,6.8,23.46,0.0
FAHAD,M,2.17,0.0,5.0,2.39,0.0,1.5,30.42,10.64,5.87,5.5,0.0,5.54,6.32,27.34,0.0
FAISAL,M,1.37,0.0,8.0,3.123,0.0,2.5,41.42,14.64,5.43,5.5,0.0,7.36,6.12,38.33,0.0
FAITH,F,37.52,20.67,5.0,21.063,30.58,19.05,582.75,210.793,29.88,30.78,21.51,37.87,41.49,948.03,8.05
FAITHE,F,1.0,0.0,0.0,0.333,0.0,1.0,3.0,1.333,0.0,0.0,0.0,0.0,6.0,9.69,0.0
FAIZA,F,1.36,0.0,6.0,2.453,0.0,1.44,52.15,17.863,6.04,6.0,0.0,5.0,0.0,18.08,0.0
FAIZAN,M,1.87,0.0,9.0,3.623,0.0,2.17,43.42,15.197,6.19,0.0,0.0,6.0,5.5,16.97,0.0
FALISHA,F,1.0,0.0,6.0,2.333,0.0,1.0,4.82,1.94,5.0,0.0,0.0,8.4,5.25,19.67,0.0
FALLON,F,3.4,6.5,7.0,5.633,0.0,4.86,26.0,10.287,8.51,7.64,5.62,9.54,9.66,239.71,0.0
FALON,F,1.62,0.0,7.0,2.873,0.0,1.25,3.67,1.64,5.88,7.03,0.0,9.8,6.77,52.49,0.0
FANCY,F,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.25,11.49,0.0
FANNIE,F,2.0,0.0,24.0,8.667,0.0,0.0,0.0,0.0,28.99,9.8,6.04,5.85,42.62,623.43,0.0
FANNY,F,1.0,5.33,21.0,9.11,0.0,1.0,0.0,0.333,8.43,6.41,0.0,9.46,5.9,69.4,0.0
FARAH,F,3.16,5.5,8.0,5.553,5.0,3.62,66.8,25.14,6.77,5.88,5.67,9.57,7.21,83.86,0.0
FARAN,M,1.0,0.0,5.0,2.0,0.0,0.0,5.11,1.703,0.0,0.0,0.0,0.0,0.0,6.0,0.0
FARHAN,M,2.24,5.0,7.0,4.747,0.0,2.23,65.63,22.62,6.79,6.0,0.0,7.25,5.5,32.21,0.0
FARIS,M,2.62,0.0,7.0,3.207,0.0,1.87,48.05,16.64,6.75,5.59,0.0,10.91,8.04,27.38,0.0
FARLEY,M,1.0,0.0,5.0,2.0,0.0,1.0,8.57,3.19,5.0,8.0,0.0,6.0,5.87,13.56,0.0
FARON,M,1.87,5.0,10.0,5.623,0.0,1.0,4.0,1.667,5.56,6.29,5.0,6.0,6.16,36.09,0.0
FARRAH,F,4.69,8.85,6.0,6.513,18.33,5.83,50.45,24.87,10.62,10.36,8.34,10.74,12.61,217.46,0.0
FARRELL,M,1.2,0.0,0.0,0.4,0.0,1.33,9.67,3.667,5.76,5.53,6.37,6.14,5.94,39.34,0.0
FARREN,F,1.14,0.0,5.0,2.047,0.0,1.11,4.62,1.91,0.0,5.0,0.0,5.67,7.5,18.31,0.0
FATIMA,F,13.31,7.47,5.0,8.593,3.0,6.58,334.65,114.743,16.12,14.11,14.65,42.73,16.29,327.54,0.0
FATIMAH,F,2.77,0.0,7.0,3.257,0.0,2.42,91.1,31.173,6.56,6.06,5.0,8.28,6.42,47.75,0.0
FATOUMATA,F,1.0,0.0,7.0,2.667,0.0,3.0,9.47,4.157,12.71,5.0,0.0,5.0,5.5,65.36,0.0
FAUSTA,F,0.0,0.0,0.0,0.0,0.0,1.0,6.14,2.38,0.0,0.0,0.0,0.0,0.0,5.0,0.0
FAUSTINA,F,1.2,0.0,0.0,0.4,0.0,0.0,3.67,1.223,5.0,0.0,0.0,5.33,6.04,13.32,0.0
FAUSTINE,F,1.0,0.0,0.0,0.333,0.0,1.0,4.0,1.667,5.0,0.0,0.0,5.0,0.0,7.76,0.0
FAUSTINO,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,5.57,5.67,11.24,10.11,33.75,0.0
FAUSTO,M,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.333,6.09,0.0,5.71,14.07,6.55,26.57,0.0
FAVIAN,M,1.25,0.0,0.0,0.417,0.0,0.0,0.0,0.0,5.78,6.22,5.83,11.52,8.55,58.12,0.0
FAVIO,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,6.0,12.33,0.0
FAWN,F,1.33,5.17,5.0,3.833,0.0,1.37,4.14,1.837,6.86,6.27,5.69,9.21,5.83,52.21,0.0
FAY,F,1.0,7.56,7.0,5.187,3.5,4.16,49.3,18.987,13.27,10.23,7.02,8.71,15.23,232.88,0.0
FAYE,F,2.88,8.21,5.0,5.363,21.37,15.93,377.85,138.383,21.03,18.69,8.14,12.96,31.42,495.16,6.0
FAYTH,F,1.62,0.0,5.0,2.207,0.0,1.12,9.0,3.373,5.79,5.55,0.0,6.37,6.49,38.51,0.0
FEARGHAL,M,0.0,0.0,0.0,0.0,5.5,1.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEDERICA,F,1.0,0.0,0.0,0.333,0.0,1.0,4.27,1.757,0.0,0.0,0.0,0.0,5.5,8.09,0.0
FEDERICO,M,1.2,0.0,5.0,2.067,0.0,1.5,12.68,4.727,6.09,6.77,6.57,14.6,12.94,71.32,0.0
FELECIA,F,1.0,0.0,7.0,2.667,0.0,0.0,0.0,0.0,8.8,7.35,0.0,9.56,12.12,109.21,0.0
FELICE,F,1.25,0.0,0.0,0.417,0.0,1.0,3.0,1.333,7.38,6.17,0.0,7.41,5.66,36.57,0.0
FELICIA,F,6.85,11.41,9.0,9.087,0.0,1.17,17.8,6.323,29.4,23.32,13.24,26.83,45.52,671.93,6.5
FELICIANA,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.0,0.0,5.0,6.27,8.25,0.0
FELICITAS,F,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,6.86,9.36,16.97,0.0
FELICITY,F,7.17,8.1,5.0,6.757,4.67,6.4,222.7,77.923,9.25,10.36,9.36,12.18,12.04,148.99,0.0
FELINA,F,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.73,0.0
FELIPE,M,1.82,0.0,5.0,2.273,0.0,1.0,9.05,3.35,9.38,7.21,8.59,22.35,21.19,223.48,0.0
FELISHA,F,1.22,0.0,8.0,3.073,0.0,1.0,3.25,1.417,6.87,6.69,6.04,9.54,8.39,96.36,0.0
FELIX,M,13.52,18.19,11.0,14.237,6.67,8.21,388.95,134.61,15.56,9.99,10.57,22.34,21.75,481.09,5.67
FELIZ,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,7.15,0.0
FEMALE,F,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,47.44,8.07,0.0,0.0,21.62,40.34,0.0
FENELLA,F,1.0,0.0,0.0,0.333,0.0,1.44,17.45,6.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FENTON,M,1.22,5.0,0.0,2.073,0.0,1.0,21.58,7.527,5.76,7.0,0.0,0.0,0.0,16.09,0.0
FERDIE,M,1.0,0.0,0.0,0.333,0.0,1.0,3.0,1.333,0.0,0.0,0.0,0.0,6.0,7.52,0.0
FERDINAND,M,1.33,0.0,6.0,2.443,0.0,1.29,11.72,4.337,8.95,6.99,0.0,6.27,6.68,63.73,0.0
FERGAL,M,1.0,0.0,0.0,0.333,6.07,1.58,6.89,4.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERGUS,M,1.85,5.25,6.0,4.367,4.27,28.02,91.16,41.15,5.0,5.0,0.0,0.0,0.0,7.94,0.0
FERMIN,M,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,5.5,5.29,6.0,10.12,8.63,42.91,0.0
FERN,F,1.64,7.22,21.0,9.953,0.0,10.16,96.1,35.42,11.57,30.13,12.48,9.73,12.18,266.9,8.0
FERNAND,M,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,6.2,19.76,5.0
FERNANDA,F,1.37,0.0,6.0,2.457,0.0,1.0,4.3,1.767,9.47,9.0,14.11,35.96,20.52,143.24,0.0
FERNANDE,F,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,15.32,5.0
FERNANDO,M,2.78,0.0,5.0,2.593,0.0,1.18,11.5,4.227,17.33,16.85,22.09,77.92,34.32,720.7,0.0
FERNE,F,0.0,5.0,10.0,5.0,0.0,2.15,12.5,4.883,7.25,9.07,6.25,6.07,6.13,57.59,0.0
FERRIS,M,1.0,0.0,0.0,0.333,0.0,1.14,4.55,1.897,7.33,5.65,5.0,6.5,5.0,20.85,0.0
FESTUS,M,1.0,0.0,0.0,0.333,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,7.68,0.0
FFION,F,1.25,0.0,0.0,0.417,0.0,1.73,250.3,84.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIACHRA,M,0.0,0.0,0.0,0.0,5.79,1.0,3.33,3.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIDEL,M,1.2,0.0,0.0,0.4,0.0,0.0,5.33,1.777,6.11,6.51,5.89,14.69,15.73,89.55,0.0
FIFI,F,0.0,0.0,0.0,0.0,0.0,1.0,5.69,2.23,0.0,0.0,0.0,0.0,0.0,6.71,0.0
FILIBERTO,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,5.25,14.51,6.75,23.85,0.0
FILIP,M,2.7,5.25,6.0,4.65,16.0,18.8,160.37,65.057,7.0,12.74,0.0,7.3,5.7,41.71,0.0
FILIPPA,F,1.0,0.0,0.0,0.333,0.0,0.0,4.17,1.39,5.37,0.0,0.0,0.0,0.0,6.38,0.0
FILOMENA,F,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.333,13.37,5.75,0.0,6.0,6.78,41.96,0.0
FIN,M,1.0,0.0,0.0,0.333,0.0,1.14,3.67,1.603,0.0,0.0,0.0,5.0,0.0,10.6,0.0
FINBAR,M,1.0,0.0,0.0,0.333,4.11,1.37,14.42,6.633,0.0,0.0,0.0,5.0,0.0,9.08,0.0
FINBARR,M,1.0,0.0,0.0,0.333,4.0,1.0,4.18,3.06,0.0,0.0,0.0,0.0,0.0,5.5,0.0
FINDLAY,M,1.62,0.0,0.0,0.54,0.0,17.75,30.32,16.023,0.0,6.0,0.0,0.0,0.0,11.08,0.0
FINIAN,M,1.0,0.0,0.0,0.333,3.0,1.0,6.5,3.5,5.25,0.0,0.0,6.5,0.0,23.5,0.0
FINLAY,M,4.11,9.18,6.0,6.43,18.0,117.24,741.74,292.327,7.4,5.0,0.0,5.75,5.0,30.95,0.0
FINLEY,M,11.25,16.43,5.0,10.893,6.55,12.8,1157.16,392.17,10.79,13.19,8.97,16.05,10.07,58.89,0.0
FINLEY,F,9.31,9.0,6.0,8.103,0.0,1.5,9.89,3.797,14.28,19.85,12.15,23.85,19.62,392.3,7.0
FINN,M,18.5,23.42,5.0,15.64,40.32,40.19,401.53,160.68,18.43,19.77,14.91,25.46,15.42,247.02,7.75
FINNBAR,M,1.0,0.0,0.0,0.333,0.0,1.17,5.47,2.213,0.0,0.0,0.0,0.0,0.0,6.36,0.0
FINNEGAN,M,3.46,6.8,5.0,5.087,0.0,1.17,6.47,2.547,11.53,13.58,8.42,19.95,9.6,278.57,5.0
FINNIAN,M,1.0,0.0,6.0,2.333,3.75,1.5,25.42,10.223,6.52,6.41,5.6,7.95,5.67,78.57,0.0
FINNLEY,M,4.62,9.14,11.0,8.253,0.0,1.81,79.39,27.067,7.83,8.86,5.78,10.79,7.18,93.07,0.0
FINNLEY,F,3.62,0.0,5.0,2.873,0.0,1.0,3.0,1.333,5.37,5.32,5.67,8.71,6.67,63.08,0.0
FINOLA,F,1.0,0.0,0.0,0.333,0.0,1.1,5.29,2.13,0.0,0.0,0.0,0.0,0.0,9.0,0.0
FINTAN,M,1.33,0.0,5.0,2.11,10.58,1.72,27.84,13.38,6.0,5.0,0.0,0.0,0.0,15.81,0.0
FIONA,F,11.5,17.64,5.0,11.38,12.12,234.93,131.5,126.183,18.75,17.48,11.21,22.35,11.48,325.09,6.44
FIONN,M,1.45,0.0,6.0,2.483,33.41,3.97,23.95,20.443,5.44,0.0,0.0,5.5,0.0,19.25,0.0
FIONNA,F,1.25,0.0,0.0,0.417,0.0,1.58,3.25,1.61,5.0,5.0,0.0,6.5,5.0,17.24,0.0
FIONNLAGH,M,1.0,0.0,0.0,0.333,0.0,1.77,5.5,2.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIONNTAN,M,0.0,0.0,0.0,0.0,5.63,1.0,3.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIONNUALA,F,1.25,0.0,0.0,0.417,8.0,1.55,9.83,6.46,0.0,0.0,0.0,0.0,0.0,6.8,0.0
FIORELLA,F,1.33,0.0,6.0,2.443,0.0,1.0,5.1,2.033,6.34,0.0,0.0,9.0,8.3,29.55,0.0
FISCHER,M,1.57,5.0,0.0,2.19,0.0,0.0,0.0,0.0,7.0,5.49,6.0,5.72,7.42,58.7,0.0
FISHER,M,2.69,5.8,5.0,4.497,0.0,1.0,0.0,0.333,7.62,6.86,6.57,8.4,9.54,66.89,0.0
FITZGERALD,M,1.0,0.0,0.0,0.333,0.0,0.0,4.0,1.333,6.02,6.67,0.0,7.0,8.57,17.97,0.0
FIZA,F,1.22,0.0,7.0,2.74,0.0,1.84,39.61,13.817,6.62,7.0,0.0,6.5,5.5,18.11,0.0
FLAVIA,F,1.0,0.0,5.0,2.0,0.0,1.0,7.75,2.917,5.95,0.0,0.0,5.64,5.58,13.12,0.0
FLAVIO,M,1.0,0.0,6.0,2.333,0.0,1.33,5.17,2.167,5.4,7.0,5.89,15.63,6.77,27.43,0.0
FLETA,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.87,0.0,0.0,5.6,17.76,0.0
FLETCHER,M,4.28,7.0,5.0,5.427,4.0,5.72,119.42,43.047,7.02,7.76,7.78,7.1,7.49,95.46,0.0
FLEUR,F,1.17,0.0,0.0,0.39,0.0,1.5,91.95,31.15,0.0,0.0,0.0,0.0,0.0,7.27,0.0
FLEURETTE,F,0.0,0.0,7.0,2.333,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.26,0.0
