name,gender,IRE1911_AppRank
AKINS,M,rare
AL,F,rare
ALAC,M,rare
ALACE,F,basic
ALACIA,F,uncommon
ALACOGNE,F,rare
ALACOGUE,F,rare
ALACOQUE,F,uncommon
ALACOYNE,F,rare
ALACQUE,F,rare
ALAEOQUE,F,rare
ALAESGM,F,rare
ALAGIE,F,rare
ALAICHY,M,rare
ALAN,F,uncommon
ALAN,M,basic
ALANDER,M,rare
ALANORA,F,rare
ALAPHONSES,M,rare
ALAPHONSIA,M,rare
ALAPHONSIS,M,rare
ALAPHONSUS,M,rare
ALAR,F,rare
ALAS,F,common
ALASAGNES,F,rare
ALASDAR,M,rare
ALASE,F,rare
ALASIA,F,rare
ALASS,F,rare
ALASTAIR,M,uncommon
ALASTAR,M,uncommon
ALASTRAM,M,rare
ALATHEA,F,uncommon
ALAUGHLIN,M,rare
ALAWACHES,M,rare
ALAWAY,M,uncommon
ALAWAY,F,rare
ALAWICHIES,M,rare
ALAXANDER,M,uncommon
ALAXANDREW,M,rare
ALAXENDRIA,M,rare
ALAYIANS,M,rare
ALBA,F,rare
ALBAN,M,basic
ALBANY,M,uncommon
ALBART,M,rare
ALBBENE,F,rare
ALBENA,F,uncommon
ALBENS,F,rare
ALBERD,M,rare
ALBERET,M,rare
ALBERST,M,rare
ALBERT,F,uncommon
ALBERT,M,basic
ALBERTA,F,common
ALBERTH,M,rare
ALBERTHA,F,common
ALBERTINA,F,common
ALBERTINE,F,uncommon
ALBERTO,M,uncommon
ALBEY,F,rare
ALBIN,M,common
ALBIN,F,rare
ALBINA,F,basic
ALBINIA,F,uncommon
ALBINO,M,rare
ALBION,M,uncommon
ALBRET,M,rare
ALCE,M,uncommon
ALCE,F,uncommon
ALCIE,M,rare
ALCIE,F,uncommon
ALDA,F,rare
ALDAN,M,rare
ALDIRN,M,rare
ALDMIRA,F,rare
ALDO,M,rare
ALDWORTH,M,uncommon
ALEANDER,M,uncommon
ALEANOR,F,rare
ALEAXNDER,M,uncommon
ALEC,M,common
ALECE,F,rare
ALECHIA,F,rare
ALECIA,F,basic
ALECK,M,common
ALEDANDER,M,rare
ALEE,M,rare
ALEE,F,rare
ALEEN,F,uncommon
ALEINA,F,rare
ALEK,M,rare
ALELAID,F,rare
ALELXANDER,M,rare
ALEMAND,M,rare
ALEN,M,uncommon
ALEN,F,common
ALENA,F,common
ALEND,F,rare
ALENIA,F,rare
ALERT,M,rare
ALES,M,rare
ALES,F,uncommon
ALESANDER,M,uncommon
ALESANDRA,M,rare
ALESEIS,M,rare
ALESHIA,F,uncommon
ALESIA,F,uncommon
ALESSAY,F,rare
ALESSIA,F,rare
ALESTAIR,M,rare
ALESTIA,F,rare
ALETHEA,F,common
ALETHIA,F,uncommon
ALETIA,F,uncommon
ALEX,M,basic
ALEX,F,common
ALEXADER,M,rare
ALEXANADER,M,rare
ALEXAND,M,rare
ALEXANDAER,M,rare
ALEXANDAR,M,common
ALEXANDE,M,common
ALEXANDER,F,common
ALEXANDER,M,basic
ALEXANDERA,F,uncommon
ALEXANDERA,M,common
ALEXANDERIA,F,rare
ALEXANDERINA,F,common
ALEXANDERITH,M,rare
ALEXANDIR,M,rare
ALEXANDNER,M,rare
ALEXANDR,M,common
ALEXANDRA,F,basic
ALEXANDRA,M,basic
ALEXANDRAI,F,rare
ALEXANDRE,M,common
ALEXANDREA,M,rare
ALEXANDREW,M,basic
ALEXANDRIA,M,basic
ALEXANDRIA,F,common
ALEXANDRIE,M,rare
ALEXANDRINA,M,rare
ALEXANDRINA,F,basic
ALEXANDRINE,F,rare
ALEXANDRO,M,rare
ALEXANDRY,F,rare
ALEXANDSER,M,rare
ALEXANDUR,M,rare
ALEXANER,M,common
ALEXCANDER,M,uncommon
ALEXDANDER,M,rare
ALEXDR,M,uncommon
ALEXDRIAN,M,rare
ALEXEDNDER,M,rare
ALEXENA,F,rare
ALEXENDER,M,common
ALEXINA,F,common
ALEXINDERINA,F,rare
ALEXIS,M,uncommon
ALEXIS,F,uncommon
ALEXNADER,M,uncommon
ALEXNDER,M,rare
ALEXR,M,basic
ALEXSANDER,M,rare
ALEY,M,uncommon
ALEZANDER,M,rare
ALEZEBETH,F,rare
ALF,M,uncommon
ALFARD,M,uncommon
ALFARID,M,rare
ALFED,M,uncommon
ALFERD,M,basic
ALFERD,F,rare
ALFERT,M,rare
ALFEY,M,rare
ALFI,M,rare
ALFIE,M,uncommon
ALFON,M,rare
ALFONCEO,M,rare
ALFONCIS,M,rare
ALFONCO,M,rare
ALFONES,M,rare
ALFONS,M,uncommon
ALFONSA,M,rare
ALFONSO,M,common
ALFONSUS,M,rare
ALFONZO,M,rare
ALFORD,M,common
ALFRA,M,rare
ALFRD,M,rare
ALFREAD,M,rare
ALFRED,M,basic
ALFRED,F,common
ALFREDA,F,uncommon
ALFREDA,M,rare
ALFREDDA,F,rare
ALFREED,M,rare
ALFREW,M,rare
ALFRID,M,uncommon
ALFRIE,M,rare
ALFRIE,F,rare
ALFROD,M,rare
ALFY,M,uncommon
ALGERNON,M,common
ALGIER,F,rare
ALGLIA,F,rare
ALGY,M,uncommon
ALHERT,M,rare
ALI,M,rare
ALIA,F,uncommon
ALIACE,F,uncommon
ALIANORA,F,rare
ALIANORE,F,rare
ALIAS,M,rare
ALIAS,F,basic
ALIASON,F,rare
ALIAWUSH,M,rare
ALIC,F,basic
ALIC,M,common
ALICA,F,basic
ALICE,F,basic
ALICE,M,basic
ALICEA,F,basic
ALICEH,F,rare
ALICEMAUD,F,rare
ALICER,F,uncommon
ALICES,F,common
ALICETTA,F,rare
ALICH,M,uncommon
ALICHIA,F,uncommon
ALICI,F,uncommon
ALICIA,F,basic
ALICIAS,F,rare
ALICICA,F,rare
ALICID,F,rare
ALICIE,F,common
ALICIS,F,rare
ALICK,M,basic
ALICK,F,uncommon
ALICKA,F,rare
ALICKSANDER,F,rare
ALICOQUE,F,rare
ALICS,F,rare
ALIDA,F,uncommon
ALIDR,M,rare
ALIE,F,basic
ALIE,M,common
ALIED,M,rare
ALIEDA,F,uncommon
ALIEE,F,common
ALIEEN,F,rare
ALIEIA,F,rare
ALIEN,M,rare
ALIEN,F,uncommon
ALIER,F,common
ALIES,F,basic
ALIEXANDER,M,rare
ALIGUS,F,rare
ALILCE,F,rare
ALIMENA,F,rare
ALIMNA,F,rare
ALINA,F,basic
ALINE,F,common
ALINE,M,rare
ALINEA,F,rare
ALINER,F,rare
ALIOE,F,uncommon
ALIS,F,basic
ALIS,M,uncommon
ALISA,F,common
ALISANDARA,F,rare
ALISANDRA,F,rare
ALISE,F,basic
ALISE,M,uncommon
ALISHA,F,common
ALISHA,M,rare
ALISHIA,F,rare
ALISIA,F,basic
ALISON,F,basic
ALISON,M,rare
ALISS,F,rare
ALISSON,F,rare
ALISTAIR,M,rare
ALISTER,M,uncommon
ALITHEA,F,rare
ALITHIA,F,rare
ALITIA,F,uncommon
ALIVIA,F,rare
ALIX,M,rare
ALIXANDER,M,uncommon
ALIXENDRIA,M,rare
ALIYOSUS,M,rare
ALIZA,F,basic
ALIZABETH,F,common
ALIZE,F,uncommon
ALIZIA,F,uncommon
ALLA,F,rare
ALLACE,M,rare
ALLACE,F,uncommon
ALLACOQUE,F,rare
ALLAICE,F,rare
ALLAN,F,common
ALLAN,M,basic
ALLAS,F,uncommon
ALLATHEA,F,rare
ALLCIA,F,rare
ALLEEN,M,rare
ALLEEN,F,uncommon
ALLEL,F,rare
ALLEMARLE,M,rare
ALLEN,M,basic
ALLEN,F,basic
ALLENA,F,rare
ALLENIE,M,rare
ALLERTON,M,rare
ALLES,F,rare
ALLESTER,M,rare
ALLEY,F,uncommon
ALLEYNE,M,rare
ALLEYNE,F,rare
ALLFONESTEST,M,rare
ALLIA,F,rare
ALLIAN,F,rare
ALLIAS,F,rare
ALLIC,F,rare
ALLICA,F,rare
ALLICE,F,basic
ALLICES,F,rare
ALLICIA,F,common
ALLICK,M,uncommon
ALLIE,F,basic
ALLIE,M,uncommon
ALLIEN,F,uncommon
ALLIES,F,uncommon
ALLIN,M,uncommon
ALLIN,F,uncommon
ALLINA,F,rare
ALLINEEN,F,rare
ALLIS,F,basic
ALLISE,F,uncommon
ALLISON,F,common
ALLISON,M,uncommon
ALLISTER,M,rare
ALLMAN,F,rare
ALLOISIUA,F,rare
ALLOMARIA,F,rare
ALLON,F,uncommon
ALLRACTA,F,rare
ALLSTON,M,rare
ALLUIT,M,rare
ALLURED,M,rare
ALLY,F,common
ALMA,M,uncommon
ALMA,F,basic
ALMAY,F,rare
ALMEDA,F,rare
ALMER,M,rare
ALMERLIA,M,rare
ALMIRA,F,uncommon
ALMOR,M,uncommon
ALNERTA,F,rare
ALOGA,M,rare
ALONZA,F,rare
ALONZO,M,uncommon
ALOPHONDUS,M,rare
ALOPHONEIS,M,rare
ALOPHONES,M,rare
ALOPHONS,M,rare
ALOPHONSIUS,M,rare
ALOPID,F,rare
ALOSIOUS,M,rare
ALOWISHAS,M,rare
ALOYIOUS,M,uncommon
ALOYOUS,M,rare
ALOYS,M,rare
ALOYSE,M,uncommon
ALOYSEUS,M,rare
ALOYSIA,F,uncommon
ALOYSIAS,M,rare
ALOYSIE,F,rare
ALOYSINA,F,rare
ALOYSINS,M,uncommon
ALOYSINS,F,uncommon
ALOYSIONS,M,rare
ALOYSIOUS,M,common
ALOYSISUS,M,rare
ALOYSIUS,M,basic
ALOYSIUS,F,common
ALOYSUES,M,rare
ALOYSUIS,M,common
ALOYSUIS,F,rare
ALOYSUS,M,uncommon
ALPHA,M,rare
ALPHANSO,M,uncommon
ALPHEY,M,rare
ALPHIC,M,rare
ALPHIE,M,rare
ALPHIN,F,rare
ALPHNONSUS,M,uncommon
ALPHOFONSE,M,rare
ALPHONAUS,M,uncommon
ALPHONAUS,F,rare
ALPHONCES,M,rare
ALPHONES,M,rare
ALPHONIUS,M,rare
ALPHONOUS,M,rare
ALPHONS,M,rare
ALPHONSA,M,uncommon
ALPHONSA,F,rare
ALPHONSAS,M,uncommon
ALPHONSE,M,common
ALPHONSES,M,rare
ALPHONSINE,F,uncommon
ALPHONSIS,M,rare
ALPHONSIUS,M,uncommon
ALPHONSO,M,uncommon
ALPHONSOS,M,rare
ALPHONSOUS,M,rare
ALPHONSU,M,rare
ALPHONSUS,M,basic
ALPHONSUS,F,uncommon
ALPHONUS,M,uncommon
ALPHONUSS,M,rare
ALPHOUNSUS,M,rare
ALPHOUSUS,M,uncommon
ALPHOUSUS,F,rare
ALPHRA,F,rare
ALPHRED,M,uncommon
ALPHY,M,rare
ALPIDA,F,rare
ALPLY,M,rare
ALPOHSUS,M,rare
ALPONSOS,M,rare
ALPONSUS,M,rare
ALPUIS,M,rare
ALRCTA,F,rare
ALRED,M,rare
ALSCANDS,M,rare
ALSTON,M,rare
ALTA,F,rare
ALTHEA,F,uncommon
ALTHIA,F,rare
ALTIDORO,M,rare
ALTIE,F,rare
ALURED,M,uncommon
ALUYSIUS,M,rare
ALVENIA,F,rare
ALVERA,F,rare
ALVEY,M,rare
ALVIENA,F,uncommon
ALVIN,M,uncommon
ALVINA,F,rare
ALVINO,F,rare
ALVURTA,F,rare
ALVY,F,rare
ALWIN,M,rare
ALX,M,rare
ALXANDER,M,common
ALXANDREW,M,rare
ALXD,M,rare
ALXENDRA,M,rare
ALXNANDER,M,rare
ALXNDER,M,rare
ALY,F,rare
ALYCE,F,uncommon
ALYEEN,F,rare
ALYS,F,rare
ALYSE,F,rare
ALYSS,F,rare
ALYSUIS,M,rare
AM,F,uncommon
AMA,F,rare
AMABEL,F,rare
AMADEUS,M,rare
AMADIUS,F,rare
AMAE,F,uncommon
AMAGIAH,M,rare
AMAIE,F,uncommon
AMAL,F,rare
AMALIA,F,uncommon
AMALIE,F,uncommon
AMANDA,F,basic
AMANDO,M,rare
AMAR,F,uncommon
AMARALLA,F,rare
AMARELLS,F,rare
AMARIAH,F,rare
AMARINTHA,F,rare
AMAS,M,uncommon
AMASTASIA,F,uncommon
AMASTATIA,F,uncommon
AMAZIAH,M,uncommon
AMBNOSE,M,rare
AMBREY,F,rare
AMBREY,M,uncommon
AMBROES,M,rare
AMBROS,M,common
AMBROSE,F,uncommon
AMBROSE,M,basic
AMBROSINA,F,rare
AMBROZE,M,rare
AMBY,M,rare
AME,F,common
AMEA,M,rare
AMEBELLA,F,rare
AMED,F,rare
AMEDEE,M,uncommon
AMEDEUS,M,rare
AMEGLA,F,rare
AMEHA,F,uncommon
AMEILA,F,rare
AMELA,F,uncommon
AMELDA,F,rare
AMELDIA,F,rare
AMELEIA,F,rare
AMELIA,F,basic
AMELIA,M,rare
AMELIAN,F,uncommon
AMELIE,F,common
AMELIN,F,uncommon
AMELLA,F,rare
AMENDA,F,uncommon
AMENIA,F,rare
AMERIGO,M,rare
AMERLIN,F,rare
AMES,M,rare
AMETIA,F,common
AMEY,F,basic
AMHLAOICH,M,rare
AMI,F,rare
AMIA,F,rare
AMICE,F,rare
AMICHAEL,M,rare
AMICS,F,rare
AMIE,F,basic
AMIEE,F,uncommon
AMIELA,F,rare
AMIELIA,F,rare
AMILA,F,rare
AMILIA,F,common
AMILY,F,rare
AMLAOIBH,M,rare
AMM,F,rare
AMME,F,uncommon
AMMEY,F,rare
AMMIE,F,rare
AMMY,F,rare
AMNA,F,rare
AMNE,F,uncommon
AMNIE,F,uncommon
AMONICA,F,rare
AMOS,M,basic
AMRAS,M,rare
AMRAY,F,rare
AMRIA,F,rare
AMROSE,M,rare
AMRY,M,rare
AMRY,F,uncommon
AMY,M,rare
AMY,F,basic
AMYAUD,F,rare
AMYETT,M,uncommon
AN,M,uncommon
AN,F,common
ANA,F,basic
ANAA,F,rare
ANABALLA,F,rare
ANABEL,F,common
ANABELA,F,rare
ANABELL,F,uncommon
ANABELLA,M,uncommon
ANABELLA,F,basic
ANABLLA,F,rare
ANAELIZA,F,rare
ANAES,M,rare
ANAGUSTA,F,rare
ANAITAS,F,rare
ANALIZA,F,common
ANAMARGET,F,rare
ANAMARIA,F,common
ANAMARIAH,F,rare
ANAMARY,F,rare
ANAMAY,F,rare
ANANER,M,rare
ANANIE,F,rare
ANANSTASIA,F,common
ANANSTATIA,F,uncommon
ANAROLD,M,rare
ANARTIAN,M,rare
ANAS,F,rare
ANASASTIA,F,rare
ANASATIA,F,uncommon
ANASHASIA,F,rare
ANASLASEA,F,rare
ANASLASIA,F,basic
ANASTA,F,rare
ANASTACA,F,rare
ANASTACHIA,F,uncommon
ANASTACIA,F,basic
ANASTAIA,F,uncommon
ANASTAISA,F,uncommon
ANASTAISIA,F,rare
ANASTALIA,M,rare
ANASTALIA,F,basic
ANASTARIA,F,common
ANASTAS,F,rare
ANASTASA,F,rare
ANASTASCIA,F,rare
ANASTASHIA,F,rare
ANASTASI,F,rare
ANASTASIA,F,basic
ANASTASIA,M,uncommon
ANASTASIE,F,basic
ANASTASIN,F,rare
ANASTASSIA,F,rare
ANASTASTIA,F,common
ANASTATA,F,uncommon
ANASTATCIA,F,rare
ANASTATEA,F,rare
ANASTATIA,M,common
ANASTATIA,F,basic
ANASTATIC,M,rare
ANASTATIC,F,rare
ANASTATIE,F,rare
ANASTATIN,F,common
ANASTATION,F,rare
ANASTATIS,F,common
ANASTATISA,F,rare
ANASTATSIA,F,uncommon
ANASTECIA,F,rare
ANASTERSIA,F,rare
ANASTESIA,F,common
ANASTESIE,F,rare
